recovery_query,ori_err_cof,check_query,recollect_query,err_cof,total_query
1329,3,256,33,0,1618
1304,2,256,19,0,1579
1310,2,256,22,0,1588
1297,2,256,18,0,1571
1325,5,256,53,0,1634
1306,2,256,18,0,1580
1322,2,256,42,0,1620
1334,0,256,0,0,1590
1327,0,256,9,0,1592
1320,3,256,27,0,1603
1322,3,256,40,0,1618
1296,6,256,66,0,1618
1298,1,256,13,0,1567
1315,1,256,19,0,1590
1289,2,256,26,0,1571
1316,1,256,12,0,1584
1307,3,256,37,0,1600
1299,1,256,11,0,1566
1295,2,256,29,0,1580
1308,1,256,10,0,1574
1316,6,256,74,0,1646
1307,4,256,51,1,1614
1325,2,256,31,0,1612
1303,2,256,19,0,1578
1308,0,256,0,0,1564
1315,3,256,30,0,1601
1306,5,256,47,0,1609
1285,1,256,19,0,1560
1313,3,256,32,1,1601
1295,2,256,24,0,1575
1315,1,256,10,0,1581
1324,3,256,32,0,1612
1296,2,256,19,0,1571
1328,3,256,29,0,1613
1296,1,256,10,0,1562
1285,1,256,48,0,1589
1342,3,256,40,0,1638
1297,0,256,0,0,1553
1306,1,256,10,0,1572
1307,4,256,44,0,1607
1308,3,256,34,0,1598
1338,0,256,11,0,1605
1301,4,256,50,0,1607
1324,2,256,30,0,1610
1338,2,256,21,0,1615
1326,2,256,32,1,1614
1312,3,256,36,0,1604
1307,1,256,9,0,1572
1307,1,256,24,1,1587
1306,3,256,32,0,1594
1297,6,256,90,0,1643
1338,2,256,35,0,1629
1306,4,256,41,0,1603
1295,6,256,88,1,1639
1328,4,256,41,0,1625
1306,1,256,10,0,1572
1331,4,256,40,0,1627
1314,3,256,22,1,1592
1305,2,256,20,0,1581
1338,6,256,67,0,1661
1290,4,256,47,0,1593
1325,5,256,51,0,1632
1321,1,256,13,0,1590
1317,6,256,62,0,1635
1297,2,256,18,0,1571
1319,1,256,11,0,1586
1298,4,256,42,0,1596
1300,5,256,44,1,1600
1301,0,256,10,0,1567
1313,6,256,63,0,1632
1339,4,256,62,1,1657
1277,2,256,20,0,1553
1297,7,256,64,0,1617
1310,3,256,41,0,1607
1307,1,256,12,0,1575
1297,4,256,32,0,1585
1323,2,256,32,0,1611
1320,3,256,30,0,1606
1323,3,256,44,0,1623
1308,1,256,18,0,1582
1306,2,256,29,1,1591
1299,3,256,18,1,1573
1318,3,256,30,0,1604
1301,3,256,29,0,1586
1304,4,256,52,0,1612
1303,4,256,42,0,1601
1320,3,256,42,0,1618
1299,0,256,0,0,1555
1319,4,256,45,0,1620
1323,3,256,43,0,1622
1309,6,256,62,0,1627
1283,2,256,19,0,1558
