recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
1321,52,1096,1091,0,3508
1300,50,1104,1129,0,3533
1303,44,1108,1103,0,3514
1295,45,1066,1009,0,3370
1326,44,1082,1011,0,3419
1306,38,1072,923,0,3301
1302,47,1004,876,0,3182
1322,47,1078,985,0,3385
1322,48,1106,1116,0,3544
1315,50,1120,1138,0,3573
1295,63,1182,1291,0,3768
1296,54,1130,1084,0,3510
1282,44,984,812,0,3078
1299,58,1132,1221,0,3652
1307,53,1156,1234,0,3697
1304,44,1068,955,0,3327
1313,54,1126,1055,0,3494
1297,41,988,767,0,3052
1290,48,1078,1007,0,3375
1298,58,1132,1170,1,3600
1306,40,974,746,0,3026
1295,49,1098,1034,0,3427
1315,67,1124,1192,0,3631
1292,54,1120,1059,0,3471
1294,46,1036,993,0,3323
1305,45,1080,983,0,3368
1296,43,1076,1043,0,3415
1276,46,1098,1038,0,3412
1298,62,1194,1354,0,3846
1287,52,1024,934,0,3245
1304,54,1092,1008,0,3404
1322,51,1032,957,0,3311
1291,46,1070,969,0,3330
1322,47,1054,961,0,3337
1281,52,1070,999,0,3350
1276,47,1116,1193,0,3585
1331,53,1118,1170,0,3619
1289,43,1008,807,0,3104
1302,66,1068,1049,0,3419
1302,46,1120,966,0,3388
1296,55,1030,903,0,3229
1327,46,1076,1034,2,3437
1286,43,1074,1017,0,3377
1309,59,1124,1163,0,3596
1328,63,1138,1334,0,3800
1315,61,1112,1111,0,3538
1305,43,964,742,0,3011
1299,56,1118,1109,0,3526
1290,49,1080,1084,0,3454
1289,43,1052,988,0,3329
1305,47,1120,1132,0,3557
1342,34,992,771,0,3105
1290,48,1088,1007,0,3385
1283,60,1122,1221,0,3626
1314,59,1102,1123,0,3539
1300,59,1084,993,0,3377
1315,45,1076,927,0,3318
1310,59,1110,1137,0,3557
1301,50,1102,1030,0,3433
1326,61,1160,1186,0,3672
1285,45,1086,917,0,3288
1319,50,1022,966,0,3307
1313,53,1108,1203,0,3624
1290,46,1124,1143,0,3557
1293,60,1038,892,0,3223
1307,52,1094,1024,0,3425
1295,43,1058,874,0,3227
1306,50,1060,1020,0,3386
1292,49,1114,988,0,3394
1304,56,1072,1055,0,3431
1331,43,1104,1162,0,3597
1273,42,998,843,0,3114
1278,67,1088,1141,0,3507
1298,45,1102,1050,0,3450
1292,55,1150,1215,0,3657
1287,43,1062,1021,0,3370
1315,39,1028,834,0,3177
1304,62,1188,1232,0,3724
1309,49,1064,931,0,3304
1289,47,1092,1003,0,3384
1312,51,1054,973,0,3339
1304,54,1128,1049,0,3481
1311,56,1076,1098,0,3485
1298,55,1048,886,0,3232
1301,53,1162,1253,0,3716
1299,57,1074,1054,1,3427
1300,60,1124,1109,0,3533
1306,60,1118,1110,0,3534
1316,50,1066,896,0,3278
1315,57,1120,1188,0,3623
1300,52,1062,1069,0,3431
1277,49,1076,1030,0,3383
1320,55,1082,979,0,3381
1309,56,1182,1157,0,3648
1300,47,1060,952,0,3312
1310,41,1058,957,0,3325
1297,48,1122,1077,0,3496
1286,56,1098,1117,0,3501
1285,46,1080,983,0,3348
1289,44,972,818,0,3079
1281,50,1078,966,0,3325
1291,45,980,750,0,3021
1302,52,1132,1122,0,3556
1311,57,992,879,0,3182
1315,52,1086,1011,0,3412
1306,40,1072,890,0,3268
1282,52,1036,918,0,3236
1292,53,1078,1003,0,3373
1304,44,1074,1066,0,3444
1313,42,1118,1085,0,3516
1296,56,1102,1053,0,3451
