recovery_query,ori_err_cof,check_query,recollect_query,err_cof,total_query
1329,3,256,43,0,1628
1303,3,256,30,0,1589
1310,3,256,40,0,1606
1295,5,256,50,0,1601
1325,5,256,53,0,1634
1306,4,256,37,0,1599
1319,7,256,89,0,1664
1335,2,256,22,0,1613
1327,1,256,28,1,1611
1318,4,256,38,0,1612
1318,7,256,83,0,1657
1292,8,256,100,0,1648
1299,3,256,56,0,1611
1313,7,256,82,0,1651
1288,5,256,56,0,1600
1316,1,256,22,0,1594
1310,8,256,92,0,1658
1299,4,256,49,1,1604
1296,4,256,47,0,1599
1308,4,256,50,0,1614
1316,8,256,103,0,1675
1307,6,256,83,1,1646
1324,4,256,65,0,1645
1305,4,256,47,0,1608
1304,2,256,23,0,1583
1315,3,256,30,0,1601
1303,9,256,91,1,1650
1285,3,256,57,0,1598
1313,4,256,52,1,1621
1294,5,256,56,0,1606
1316,3,256,19,1,1591
1324,4,256,41,0,1621
1294,6,256,69,0,1619
1328,6,256,64,0,1648
1296,2,256,19,0,1571
1285,2,256,61,0,1602
1341,6,256,71,0,1668
1297,0,256,12,0,1565
1307,5,256,51,0,1614
1305,5,256,55,0,1616
1305,5,256,65,0,1626
1336,5,256,66,0,1658
1301,5,256,84,1,1641
1324,4,256,58,0,1638
1334,4,256,45,0,1635
1322,7,256,87,2,1665
1308,6,256,65,0,1629
1309,4,256,40,0,1605
1305,4,256,55,1,1616
1306,4,256,42,0,1604
1297,7,256,110,0,1663
1338,2,256,35,0,1629
1306,5,256,51,2,1613
1295,6,256,99,1,1650
1330,10,256,101,0,1687
1306,2,256,22,0,1584
1331,7,256,72,0,1659
1314,3,256,22,1,1592
1303,4,256,31,1,1590
1338,7,256,77,0,1671
1290,8,256,89,1,1635
1322,8,256,73,1,1651
1315,6,256,74,1,1645
1318,8,256,98,0,1672
1293,6,256,49,1,1598
1318,3,256,31,0,1605
1298,10,256,87,0,1641
1300,6,256,55,1,1611
1300,1,256,20,0,1576
1313,8,256,84,0,1653
1338,5,256,83,1,1677
1274,3,256,40,0,1570
1296,9,256,88,0,1640
1310,6,256,82,0,1648
1311,7,256,68,1,1635
1296,7,256,64,0,1616
1321,5,256,62,1,1639
1321,7,256,79,0,1656
1323,7,256,97,0,1676
1310,4,256,75,0,1641
1308,4,256,55,1,1619
1300,7,256,66,0,1622
1318,6,256,65,0,1639
1299,5,256,53,0,1608
1307,10,256,112,0,1675
1306,9,256,95,0,1657
1320,3,256,51,0,1627
1297,2,256,22,0,1575
1318,5,256,55,1,1629
1322,9,256,125,0,1703
1309,6,256,73,0,1638
1282,4,256,49,0,1587
1320,4,256,51,0,1627
1303,7,256,95,1,1654
1312,2,256,32,1,1600
1318,5,256,60,2,1634
1298,7,256,97,0,1651
1286,7,256,87,0,1629
1302,3,256,27,0,1585
1302,2,256,20,0,1578
1283,7,256,79,1,1618
1309,2,256,20,0,1585
1305,5,256,49,0,1610
1325,4,256,73,0,1654
1325,5,256,62,1,1643
1302,6,256,75,1,1633
1301,5,256,50,0,1607
1290,11,256,111,0,1657
1322,2,256,33,0,1611
1331,1,256,22,1,1609
1299,10,256,120,0,1675
1320,3,256,28,0,1604
1306,4,256,44,0,1606
1320,7,256,91,1,1667
1274,8,256,93,0,1623
1318,6,256,70,0,1644
1326,5,256,67,1,1649
1282,1,256,32,0,1570
1302,8,256,93,0,1651
1303,4,256,37,0,1596
1318,5,256,42,2,1616
1300,9,256,101,1,1657
1309,6,256,72,0,1637
1311,7,256,74,1,1641
1328,4,256,58,0,1642
1298,3,256,59,0,1613
1303,7,256,85,0,1644
1286,6,256,61,0,1603
1352,4,256,41,1,1649
1313,4,256,59,0,1628
1289,8,256,103,2,1648
1337,8,256,90,1,1683
1305,7,256,93,0,1654
1299,4,256,49,1,1604
1355,4,256,42,0,1653
1324,7,256,78,0,1658
1315,6,256,88,1,1659
1327,5,256,48,0,1631
1337,4,256,81,1,1674
1298,4,256,83,0,1637
1301,7,256,83,0,1640
1273,3,256,45,0,1574
1267,4,256,65,1,1588
1322,9,256,110,0,1688
1304,4,256,51,0,1611
1322,2,256,38,1,1616
1296,4,256,42,0,1594
1314,5,256,54,0,1624
1332,3,256,44,1,1632
1305,3,256,45,0,1606
1304,8,256,83,0,1643
1313,6,256,63,0,1632
1300,6,256,66,0,1622
1321,7,256,90,0,1667
1293,4,256,80,1,1629
1305,6,256,57,1,1618
1323,8,256,91,0,1670
1308,9,256,114,1,1678
1315,4,256,47,0,1618
1306,3,256,50,1,1612
1327,4,256,44,0,1627
1279,3,256,28,0,1563
1328,7,256,85,0,1669
1316,3,256,32,0,1604
1300,6,256,78,0,1634
1317,4,256,52,0,1625
1306,3,256,42,0,1604
1319,0,256,10,0,1585
1317,4,256,54,0,1627
1303,6,256,73,2,1632
1317,5,256,65,0,1638
1321,6,256,62,1,1639
1294,8,256,83,0,1633
1328,7,256,90,0,1674
1328,3,256,31,0,1615
1272,5,256,51,0,1579
1307,8,256,69,0,1632
1299,7,256,72,0,1627
1321,3,256,41,0,1618
1294,3,256,34,1,1584
1316,8,256,72,0,1644
1295,5,256,64,0,1615
1316,6,256,69,0,1641
1302,1,256,18,0,1576
1290,6,256,60,0,1606
1282,1,256,12,0,1550
1314,9,256,94,2,1664
1330,5,256,63,0,1649
1322,4,256,73,0,1651
1320,4,256,47,0,1623
1298,2,256,24,0,1578
1304,2,256,19,0,1579
1321,7,256,82,2,1659
1332,4,256,54,0,1642
1301,8,256,89,0,1646
1295,9,256,113,1,1664
1285,5,256,51,0,1592
1315,6,256,63,2,1634
1299,4,256,66,0,1621
1345,9,256,106,0,1707
1315,6,256,60,0,1631
1316,4,256,70,0,1642
1313,5,256,75,0,1644
1323,8,256,98,0,1677
1319,5,256,64,0,1639
1321,6,256,64,0,1641
1303,10,256,132,2,1691
1296,7,256,69,0,1621
1312,7,256,79,0,1647
1311,6,256,73,0,1640
1292,4,256,44,0,1592
1300,4,256,44,0,1600
1302,6,256,63,0,1621
1304,4,256,44,0,1604
1304,4,256,42,0,1602
1318,4,256,39,0,1613
1311,3,256,40,0,1607
1325,5,256,49,0,1630
1315,6,256,62,0,1633
1305,6,256,52,1,1613
1299,5,256,63,0,1618
1325,1,256,44,0,1625
1327,8,256,82,2,1665
1315,3,256,50,1,1621
1318,4,256,44,0,1618
1302,3,256,29,0,1587
1306,6,256,76,0,1638
1302,4,256,41,1,1599
1304,1,256,24,0,1584
1302,2,256,30,0,1588
1303,3,256,36,0,1595
1300,5,256,59,1,1615
1306,8,256,85,0,1647
1303,8,256,88,0,1647
1327,5,256,50,0,1633
1304,3,256,64,1,1624
1283,11,256,144,1,1683
1342,5,256,62,0,1660
1295,2,256,19,0,1570
1299,7,256,61,1,1616
1312,10,256,117,2,1685
1293,4,256,39,0,1588
1324,6,256,81,1,1661
1327,5,256,86,0,1669
1317,7,256,83,1,1656
1286,4,256,46,0,1588
1305,4,256,73,0,1634
1327,6,256,66,0,1649
1281,9,256,109,0,1646
1319,2,256,18,1,1593
1278,3,256,38,0,1572
1335,9,256,102,1,1693
1290,11,256,103,1,1649
1323,5,256,61,1,1640
1310,3,256,59,0,1625
1328,5,256,55,0,1639
1312,7,256,72,1,1640
1316,1,256,0,1,1572
1323,6,256,92,0,1671
1321,4,256,63,0,1640
1341,3,256,60,1,1657
1320,5,256,55,1,1631
1290,9,256,92,2,1638
1309,3,256,41,0,1606
1303,8,256,81,0,1640
1298,7,256,72,0,1626
1316,5,256,62,0,1634
1310,6,256,74,1,1640
1311,5,256,57,1,1624
1300,7,256,72,1,1628
1331,4,256,28,1,1615
1285,8,256,78,1,1619
1325,5,256,82,0,1663
1310,6,256,64,0,1630
