recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
1317,119,2484,4144,0,7945
1289,114,2436,4132,0,7857
1276,112,2396,4046,0,7718
1284,107,2568,4053,0,7905
1303,118,2388,4169,0,7860
1292,108,2362,3832,0,7486
1307,118,2418,4198,0,7923
1307,127,2492,4181,0,7980
1306,123,2538,4320,0,8164
1313,113,2416,4095,0,7824
1291,126,2442,4291,0,8024
1302,121,2440,4061,0,7803
1274,125,2470,4172,0,7916
1276,126,2432,4220,0,7928
1274,126,2566,4102,0,7942
1296,109,2420,4074,0,7790
1282,132,2440,4188,0,7910
1301,112,2356,3694,0,7351
1259,123,2456,4289,0,8004
1286,142,2374,4096,0,7756
1299,97,2388,3854,0,7541
1303,111,2416,3928,0,7647
1283,143,2468,4416,0,8167
1299,121,2424,4130,1,7853
1296,111,2374,3757,0,7427
1305,117,2410,4058,0,7773
1291,108,2544,4396,0,8231
1280,121,2444,4101,0,7825
1285,109,2482,3933,0,7700
1273,128,2348,3958,2,7579
1280,120,2342,3877,0,7499
1299,112,2458,4208,0,7965
1281,117,2340,3472,0,7093
1313,125,2538,4259,0,8110
1281,121,2492,4004,0,7777
1281,107,2474,4049,0,7804
1324,116,2468,4327,1,8119
1273,126,2428,4010,0,7711
1276,142,2472,4319,0,8067
1294,103,2436,3768,1,7498
1295,110,2294,3567,0,7156
1312,123,2462,4266,0,8040
1286,108,2422,3713,1,7421
1293,128,2458,4275,0,8026
1314,152,2516,4534,1,8364
1294,132,2402,4006,0,7702
1275,114,2396,3786,2,7457
1298,121,2370,3871,0,7539
1296,119,2420,4083,0,7799
1275,122,2410,4047,0,7732
1286,117,2344,3930,0,7560
1317,111,2432,4191,1,7940
1293,114,2388,3665,0,7346
1269,126,2466,4220,0,7955
1309,128,2522,4475,0,8306
1301,130,2444,3961,0,7706
1309,114,2464,4035,0,7808
1280,125,2434,4296,0,8010
1271,118,2374,4017,0,7662
1293,128,2480,4133,0,7906
1285,126,2510,4327,1,8122
1291,116,2430,4182,0,7903
1290,125,2428,4044,0,7762
1294,122,2366,3825,0,7485
1279,130,2368,3904,0,7551
1287,113,2382,3867,0,7536
1300,110,2540,4292,1,8132
1284,132,2518,4370,0,8172
1290,113,2334,3789,0,7413
1303,120,2428,4169,0,7900
1311,106,2534,4091,0,7936
1279,111,2324,3480,1,7083
1286,131,2388,4153,0,7827
1286,109,2446,4063,0,7795
1282,122,2468,4213,0,7963
1295,126,2358,4091,0,7744
1304,114,2426,3913,0,7643
1305,125,2352,3756,1,7413
1283,107,2534,4243,0,8060
1301,119,2486,4214,1,8001
1301,117,2422,3897,0,7620
1317,119,2542,4321,1,8180
1298,124,2378,4064,0,7740
1280,112,2418,3893,1,7591
1284,137,2628,4554,0,8466
1294,126,2330,3837,0,7461
1302,122,2544,4317,0,8163
1295,116,2380,3825,0,7500
1295,130,2430,4060,0,7785
1312,120,2422,4183,0,7917
1298,133,2462,4159,0,7919
1264,121,2380,3940,1,7584
1318,130,2416,4252,1,7986
1290,118,2402,4198,1,7890
1293,108,2472,3837,0,7602
1294,114,2316,3837,0,7447
1299,111,2362,3786,0,7447
1282,126,2356,3740,0,7378
1289,121,2388,4189,0,7866
1285,124,2388,3928,0,7601
1271,116,2338,3562,0,7171
1258,126,2414,3883,0,7555
1302,121,2450,4248,0,8000
1302,132,2270,3571,0,7143
1301,122,2436,3900,0,7637
1304,112,2374,3970,0,7648
1275,127,2400,3991,0,7666
1285,128,2518,4185,0,7988
1298,110,2466,4029,0,7793
1310,118,2508,4496,0,8314
1278,123,2338,3691,0,7307
1311,135,2376,4121,1,7808
1294,132,2532,4221,0,8047
1316,115,2448,3883,0,7647
1274,105,2334,3653,0,7261
1284,117,2374,4110,0,7768
1308,108,2394,4068,1,7770
1259,106,2342,3547,0,7148
1293,118,2430,4053,1,7776
1275,113,2512,4056,0,7843
1293,114,2430,4006,0,7729
1291,133,2438,4287,0,8016
1293,115,2464,4080,1,7837
1294,136,2514,4626,0,8434
1302,127,2412,4291,1,8005
1283,130,2526,4277,1,8086
1282,109,2284,3654,0,7220
1265,127,2356,3820,0,7441
1314,129,2484,4422,0,8220
1305,119,2320,3727,0,7352
1300,139,2444,4171,1,7915
1298,132,2448,4196,0,7942
1289,96,2504,4007,0,7800
1285,101,2334,3817,2,7436
1315,120,2442,3982,0,7739
1307,125,2476,4195,0,7978
1299,111,2468,4328,1,8095
1299,111,2354,3794,0,7447
1318,119,2418,3844,0,7580
1274,112,2362,3744,0,7380
1284,115,2408,3957,0,7649
1252,112,2498,4211,3,7961
1251,112,2382,3635,0,7268
1307,130,2390,4180,0,7877
1279,121,2466,3975,0,7720
1315,131,2404,3818,0,7537
1287,118,2342,3893,2,7522
1309,115,2522,4251,0,8082
1292,120,2338,3606,0,7236
1294,104,2276,3361,0,6931
1284,119,2380,3749,0,7413
1289,127,2386,3989,1,7664
1270,123,2462,3945,0,7677
1292,118,2566,4197,0,8055
1283,125,2504,4404,1,8191
1293,111,2442,3896,1,7631
1306,116,2370,4030,0,7706
1296,133,2370,4011,1,7677
1309,117,2304,3747,1,7360
1276,124,2438,4132,0,7846
1304,152,2560,4525,0,8389
1268,126,2430,3907,0,7605
1315,139,2540,4295,0,8150
1277,132,2472,4316,1,8065
1279,119,2596,4683,0,8558
1290,133,2484,4435,0,8209
1291,122,2372,3744,0,7407
1300,112,2490,4053,0,7843
1313,135,2436,3997,0,7746
1300,111,2380,3871,0,7551
1285,114,2340,3841,0,7466
1299,111,2482,3848,0,7629
1284,135,2384,3940,0,7608
1303,118,2488,4220,1,8011
1304,116,2476,4081,0,7861
1270,124,2488,3953,0,7711
1296,120,2390,3858,0,7544
1289,117,2354,3768,0,7411
1310,122,2478,4259,0,8047
1265,106,2412,3820,0,7497
1305,121,2354,4255,1,7914
1284,90,2378,3522,0,7184
1316,133,2418,4299,0,8033
1273,126,2368,4040,0,7681
1277,98,2328,3641,0,7246
1262,101,2420,4084,1,7766
1301,127,2508,4146,0,7955
1316,112,2508,4570,0,8394
1297,123,2440,4199,0,7936
1307,120,2466,4323,2,8096
1280,121,2464,3985,0,7729
1272,121,2422,3899,1,7593
1306,131,2422,4141,0,7869
1309,139,2484,4385,1,8178
1283,119,2308,3545,1,7136
1298,123,2340,3720,1,7358
1280,111,2480,4001,0,7761
1297,107,2468,3887,0,7652
1298,121,2414,3837,0,7549
1324,118,2382,4230,0,7936
1299,124,2534,4358,1,8191
1291,121,2380,3790,0,7461
1295,106,2438,4072,0,7805
1284,124,2410,4030,0,7724
1312,125,2378,3902,1,7592
1291,132,2438,4337,1,8066
1305,133,2452,4120,1,7877
1268,120,2340,3828,0,7436
1287,110,2452,4107,1,7846
1302,111,2346,3609,1,7257
1276,123,2438,3867,0,7581
1292,118,2358,3947,0,7597
1288,125,2460,4049,0,7797
1278,121,2426,4004,0,7708
1295,122,2362,3806,0,7463
1323,123,2514,4328,0,8165
