recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
1289,64,1204,1457,0,3950
1342,60,1182,1366,0,3890
1299,72,1242,1511,0,4052
1311,63,1156,1420,0,3887
1298,57,1206,1467,2,3971
1305,69,1136,1360,0,3801
1298,73,1198,1402,0,3898
1317,66,1148,1237,0,3702
1304,68,1174,1370,0,3848
1289,63,1162,1340,0,3791
1303,55,1150,1208,0,3661
1302,56,1178,1324,0,3804
1291,66,1132,1152,0,3575
1297,57,1140,1254,0,3691
1285,65,1170,1398,0,3853
1299,56,1154,1275,0,3728
1297,68,1196,1506,0,3999
1321,53,1210,1386,0,3917
1308,65,1196,1202,0,3706
1308,68,1198,1343,0,3849
1305,63,1242,1547,0,4094
1287,55,1158,1350,0,3795
1284,51,1148,1264,1,3696
1316,53,1170,1304,0,3790
1308,69,1222,1610,0,4140
1296,66,1224,1586,0,4106
1314,50,1134,1117,0,3565
1307,50,1142,1120,0,3569
1296,70,1268,1605,0,4169
1301,56,1184,1285,0,3770
1301,54,1240,1367,0,3908
1308,63,1192,1364,1,3864
1303,61,1144,1308,0,3755
1287,67,1158,1374,0,3819
1293,64,1242,1580,0,4115
1297,68,1154,1501,0,3952
1308,58,1142,1271,0,3721
1287,60,1134,1335,0,3756
1280,60,1206,1356,0,3842
1337,63,1212,1545,0,4094
1278,59,1154,1185,0,3617
1284,70,1242,1581,0,4107
1299,67,1142,1412,0,3853
1289,58,1182,1302,0,3773
1308,68,1194,1410,0,3912
1306,53,1166,1343,0,3815
1304,65,1188,1498,0,3990
1280,50,1160,1206,1,3646
1285,63,1160,1183,0,3628
1314,61,1192,1408,0,3914
1272,63,1118,1167,0,3557
1306,67,1244,1551,0,4101
1270,58,1192,1334,1,3796
1333,59,1218,1401,0,3952
1285,70,1186,1529,0,4000
1304,71,1142,1260,0,3706
1292,60,1178,1365,0,3835
1325,54,1176,1335,0,3836
1297,61,1180,1332,0,3809
1316,70,1198,1383,0,3897
1312,68,1270,1522,0,4104
1313,61,1198,1345,0,3856
1329,56,1184,1426,0,3939
1307,66,1172,1328,0,3807
1270,59,1146,1266,0,3682
1309,54,1132,1094,0,3535
1289,58,1152,1142,0,3583
1282,64,1154,1276,0,3712
1307,65,1184,1471,1,3962
1302,69,1170,1403,0,3875
1298,57,1168,1427,0,3893
1300,57,1130,1219,0,3649
1322,49,1186,1299,0,3807
1290,55,1152,1182,1,3624
1308,67,1166,1298,0,3772
1300,62,1166,1280,0,3746
1304,64,1148,1355,0,3807
1285,58,1140,1193,0,3618
1302,72,1252,1501,2,4055
1312,60,1208,1393,0,3913
1324,68,1184,1545,0,4053
1273,68,1264,1546,0,4083
1288,65,1244,1697,0,4229
1307,68,1154,1393,0,3854
1303,46,1140,1117,0,3560
1288,55,1118,1180,0,3586
1293,64,1098,1108,0,3499
1275,57,1166,1151,1,3592
1330,64,1180,1408,0,3918
1288,52,1140,1214,0,3642
1312,55,1198,1317,0,3827
1307,53,1164,1240,0,3711
1277,57,1198,1257,0,3732
1293,60,1182,1371,0,3846
1309,52,1168,1288,0,3765
1276,53,1132,1040,0,3448
1307,56,1146,1292,0,3745
1305,60,1210,1334,0,3849
1304,60,1188,1386,1,3878
1298,66,1230,1509,0,4037
1330,59,1176,1349,0,3855
1285,56,1204,1309,0,3798
1312,77,1178,1479,0,3969
1318,61,1196,1559,0,4073
1274,62,1154,1232,0,3660
1296,82,1224,1478,0,3998
1299,67,1152,1267,0,3718
1297,54,1176,1181,0,3654
1320,62,1200,1320,0,3840
1280,59,1160,1156,0,3596
1287,58,1178,1292,0,3757
1320,61,1160,1215,0,3695
1281,69,1168,1304,0,3753
1320,64,1172,1423,1,3915
1306,62,1228,1374,0,3908
1313,72,1244,1641,0,4198
1293,60,1188,1336,0,3817
1303,73,1228,1696,0,4227
1306,66,1200,1355,0,3861
1306,79,1182,1524,0,4012
1312,62,1196,1497,0,4005
1315,69,1160,1440,0,3915
1319,59,1182,1405,0,3906
1306,71,1194,1278,0,3778
1293,70,1248,1711,0,4252
1307,68,1212,1516,0,4035
1285,71,1182,1305,0,3772
1324,73,1178,1651,0,4153
1304,74,1242,1585,0,4131
1302,64,1194,1431,0,3927
1291,66,1158,1306,0,3755
1287,69,1202,1593,0,4082
1264,66,1210,1519,1,3993
1298,45,1144,1264,0,3706
1297,61,1142,1189,0,3628
1287,57,1204,1425,0,3916
1309,66,1198,1541,0,4048
1284,61,1140,1259,0,3683
1285,57,1188,1324,0,3797
1283,77,1266,1726,0,4275
1295,63,1188,1411,0,3894
1323,77,1150,1461,0,3934
1301,74,1176,1511,0,3988
1296,51,1160,1121,0,3577
1287,61,1208,1249,0,3744
1303,65,1154,1233,1,3690
1306,56,1110,1194,0,3610
1306,62,1172,1296,0,3774
1304,49,1172,1198,0,3674
1309,66,1276,1607,0,4192
1292,61,1130,1373,0,3795
1303,62,1208,1479,0,3990
1301,65,1206,1407,0,3914
1326,58,1266,1399,0,3991
1283,57,1168,1186,0,3637
1298,61,1158,1386,0,3842
1310,64,1176,1336,0,3822
1303,55,1246,1489,0,4038
1300,62,1158,1181,1,3639
1310,58,1190,1401,0,3901
1316,75,1252,1874,0,4442
1307,68,1180,1427,1,3914
1275,68,1164,1297,0,3736
1336,50,1132,1321,0,3789
1275,61,1154,1314,0,3743
1307,57,1142,1146,1,3595
1318,59,1196,1302,0,3816
1310,66,1190,1458,0,3958
1312,51,1152,1229,0,3693
1301,67,1136,1352,0,3789
1281,60,1172,1419,0,3872
1296,66,1166,1259,0,3721
1306,69,1204,1527,2,4037
1315,58,1180,1394,0,3889
1337,56,1196,1314,0,3847
1323,51,1120,1116,0,3559
1304,62,1170,1346,0,3820
1285,69,1162,1198,0,3645
1284,51,1144,1111,0,3539
1306,63,1196,1470,0,3972
1310,72,1252,1692,0,4254
1331,53,1172,1433,1,3936
1325,63,1170,1360,0,3855
1305,59,1170,1293,0,3768
1300,61,1210,1541,0,4051
1324,60,1214,1401,0,3939
1300,67,1224,1600,0,4124
1300,71,1234,1715,0,4249
1307,58,1182,1310,0,3799
1315,68,1210,1521,0,4046
1321,58,1158,1240,0,3719
1292,61,1214,1492,0,3998
1300,61,1224,1408,0,3932
1294,63,1248,1561,0,4103
1293,64,1154,1451,1,3898
1290,70,1216,1698,1,4204
1309,70,1160,1479,0,3948
1297,67,1128,1166,1,3591
1261,57,1178,1281,0,3720
1295,61,1224,1466,2,3985
1302,63,1222,1584,0,4108
1295,69,1224,1574,2,4093
1318,71,1206,1536,0,4060
1301,53,1130,1100,0,3531
1324,64,1212,1363,0,3899
1317,63,1214,1350,0,3881
1289,60,1198,1359,0,3846
1285,63,1190,1433,0,3908
1282,52,1198,1318,0,3798
1293,46,1116,1125,0,3534
1312,68,1204,1462,0,3978
1292,70,1218,1513,2,4023
1320,63,1188,1471,0,3979
1328,71,1164,1352,1,3844
1289,68,1224,1566,1,4079
1315,60,1138,1324,0,3777
1286,67,1274,1750,1,4310
1284,66,1204,1457,0,3945
1293,65,1192,1418,0,3903
1317,55,1180,1233,0,3730
1307,73,1202,1566,0,4075
1282,65,1174,1380,0,3836
1317,60,1182,1291,0,3790
1301,68,1192,1329,0,3822
1318,63,1206,1336,0,3860
1306,68,1196,1313,0,3815
1301,55,1136,1203,0,3640
1305,62,1130,1245,0,3680
1296,66,1210,1520,0,4026
1305,64,1122,1165,0,3592
1309,75,1178,1530,1,4017
1308,70,1192,1365,0,3865
1274,73,1262,1639,0,4175
1301,57,1156,1195,0,3652
1293,56,1168,1359,0,3820
1290,73,1184,1443,0,3917
1266,59,1140,1197,0,3603
1308,60,1140,1319,0,3767
1298,62,1168,1389,0,3855
1338,55,1126,1196,0,3660
1305,56,1164,1192,0,3661
1309,57,1156,1383,0,3848
1283,76,1238,1651,0,4172
1295,52,1234,1473,0,4002
1291,81,1276,1844,0,4411
1315,63,1244,1659,0,4218
1303,64,1240,1415,0,3958
1320,67,1178,1372,0,3870
1299,74,1182,1338,0,3819
1314,64,1208,1403,0,3925
1298,70,1174,1352,0,3824
1303,65,1236,1711,0,4250
1297,60,1260,1521,1,4078
1315,77,1182,1414,2,3911
1305,62,1166,1366,0,3837
1323,69,1270,1707,0,4300
1311,49,1200,1202,0,3713
1289,63,1132,1280,0,3701
1279,73,1186,1478,0,3943
1310,52,1158,1230,0,3698
1289,55,1198,1332,0,3819
1287,68,1212,1424,0,3923
1300,67,1238,1518,0,4056
