recovery_query,ori_err_cof,query_with_vote,err_cof
1306,79,9303,1
1312,62,9282,1
1315,69,9268,0
1319,59,9233,0
1306,71,9191,0
1293,70,9100,0
1307,68,9142,1
1285,71,9051,2
1324,73,9289,0
1304,74,9198,0
1302,64,9156,1
1291,66,9058,0
1287,69,9149,0
1264,66,8869,0
1298,45,9086,1
1297,61,9226,0
1287,57,9184,0
1309,66,9303,0
1284,61,8918,1
1285,57,9128,0
1283,77,9128,0
1295,63,9149,0
1323,77,9303,1
1301,74,9198,0
1296,51,9058,0
1287,61,9079,1
1303,65,9170,1
1306,56,9156,0
1306,62,9191,1
1304,49,9191,0
1309,66,9254,0
1292,61,9212,0
1303,62,9142,0
1301,65,9233,0
1326,58,9338,0
1283,57,9044,1
1298,61,9275,0
1310,64,9198,0
1303,55,9233,1
1300,62,9128,0
1310,58,9247,0
1316,75,9317,0
1307,68,9128,0
1275,68,8988,0
1336,50,9422,0
1275,61,9009,0
1307,57,9163,2
1318,59,9268,0
1310,66,9275,0
1312,51,9219,0
1301,67,9219,0
1281,60,9016,0
1296,66,9247,0
1306,69,9205,0
1315,58,9226,0
1337,56,9415,2
1323,51,9268,0
1304,62,9261,1
1285,69,9121,1
1284,51,9079,0
1306,63,9254,0
1310,72,9303,0
1331,53,9436,0
1325,63,9338,0
1305,59,9268,0
1300,61,9205,0
1324,60,9359,1
1300,67,9268,0
1300,71,9233,0
1307,58,9177,0
1315,68,9184,1
1321,58,9282,0
1292,61,9093,1
1300,61,9093,0
1294,63,9261,0
1293,64,9079,0
1290,70,9156,0
1309,70,9317,0
1297,67,9051,0
1261,57,8876,0
1295,61,9121,0
1302,63,9219,0
1295,69,9191,0
1318,71,9359,0
1301,53,9205,0
1324,64,9331,0
1317,63,9317,0
1289,60,9114,0
1285,63,9128,0
1282,52,9128,0
1293,46,9093,0
1312,68,9191,0
1292,70,9100,0
1320,63,9331,0
1328,71,9310,0
1289,68,9163,1
1315,60,9254,0
1286,67,9079,0
1284,66,9135,0
1293,65,9114,0
1317,55,9261,0
1307,73,9303,0
1282,65,8897,0
1317,60,9233,0
1301,68,9205,0
1318,63,9282,1
1306,68,9268,0
1301,55,9268,0
1305,62,9247,0
1296,66,9198,1
1305,64,9177,0
1309,75,9275,0
1308,70,9268,0
