recovery_query,ori_err_cof,query_with_vote,err_cof
1329,4,3987,0
1303,3,3909,0
1311,7,3939,0
1295,5,3888,0
1325,5,3975,0
1306,4,3915,0
1318,9,3966,0
1335,2,4002,0
1327,1,3981,0
1318,6,3954,0
1316,8,3957,0
1293,10,3900,0
1299,5,3897,1
1313,8,3945,0
1288,7,3870,0
1313,3,3945,0
1307,11,3918,0
1299,5,3897,0
1295,6,3888,0
1308,5,3921,0
1316,8,3951,0
1307,6,3912,1
1322,5,3978,0
1306,5,3909,0
1303,3,3924,0
1315,5,3945,0
1303,9,3918,1
1284,5,3855,0
1312,5,3939,0
1291,9,3888,0
1316,3,3942,0
1323,5,3981,0
1299,8,3891,0
1328,6,3984,0
1296,2,3888,0
1286,5,3858,0
1341,6,4026,0
1297,0,3891,0
1305,6,3915,1
1305,5,3918,1
1305,5,3918,0
1336,5,4014,0
1297,6,3894,0
1323,5,3975,0
1335,7,4011,0
1322,11,3975,0
1308,9,3942,0
1305,6,3921,0
1300,5,3921,0
1306,4,3918,0
1297,8,3900,0
1338,3,4020,0
1306,5,3930,0
1295,6,3891,0
1330,11,3984,0
1306,4,3918,1
1331,8,3987,1
1308,5,3942,0
1299,6,3909,0
1338,8,4029,0
1290,10,3870,0
1321,9,3975,0
1315,6,3960,0
1318,8,3948,0
1293,8,3888,0
1317,6,3957,0
1298,10,3900,0
1300,7,3906,1
1300,2,3903,0
1313,9,3957,0
1338,5,4017,0
1274,3,3831,0
1297,11,3897,0
1309,11,3936,0
1311,9,3921,0
1290,10,3888,0
1321,5,3963,0
1321,8,3957,0
1323,7,3969,0
1310,4,3921,0
1308,5,3921,0
1304,7,3900,0
1318,6,3954,1
1296,9,3897,0
1307,12,3918,0
1306,9,3921,0
1321,5,3960,0
1298,3,3897,0
1319,6,3957,0
1322,11,3975,1
1310,8,3936,0
1282,4,3849,0
1320,5,3966,0
1303,7,3918,0
1312,2,3945,0
1313,8,3957,0
1297,8,3894,0
1286,7,3858,0
1302,3,3900,0
1301,3,3900,0
1283,8,3852,0
1309,2,3921,0
1306,6,3915,0
1325,4,3975,1
1320,7,3972,0
1303,7,3918,0
1301,6,3903,0
1290,12,3861,0
1322,3,3969,0
1333,4,3990,0
1299,12,3912,0
1320,3,3954,0
1306,6,3921,0
1320,7,3960,0
1274,11,3831,0
1318,9,3957,0
1329,6,3981,0
1283,2,3846,0
1302,9,3912,0
1303,4,3900,0
1318,6,3963,0
1300,9,3912,0
1309,7,3930,0
1307,14,3939,0
1328,4,3990,0
1298,3,3894,0
1303,7,3918,0
1285,9,3855,0
1352,6,4059,0
1313,4,3948,0
1288,9,3882,0
1333,11,4008,0
1305,8,3924,1
1299,6,3897,0
1355,4,4065,0
1323,9,3972,0
1312,7,3942,0
1327,5,3978,0
1339,5,4011,0
1298,5,3894,0
1301,8,3906,0
1273,3,3819,0
1267,7,3801,0
1322,13,3978,0
1304,5,3909,0
1322,2,3972,0
1296,5,3882,0
1317,7,3939,1
1331,4,3996,0
1301,4,3915,0
1303,12,3906,1
1313,7,3936,0
1301,10,3912,1
1323,9,3960,0
1292,5,3879,0
1305,10,3912,0
1314,10,3963,0
1308,9,3930,0
1315,5,3942,0
1307,5,3918,0
1326,5,3987,0
1276,4,3840,0
1324,9,3984,0
1316,3,3945,0
1300,6,3909,0
1317,5,3963,0
1306,4,3921,0
1319,1,3957,0
1317,6,3954,0
1302,7,3906,0
1315,6,3948,0
1326,9,3969,0
1294,9,3894,0
1329,10,3981,0
1321,4,3981,0
1272,8,3819,2
1312,9,3924,0
1299,8,3903,0
1321,5,3963,0
1294,3,3888,0
1316,8,3948,0
1295,5,3888,0
1316,6,3960,0
1302,3,3903,0
1290,6,3873,0
1282,1,3849,0
1314,11,3963,0
1330,5,3993,0
1322,5,3963,0
1312,7,3957,0
1298,4,3906,1
1305,6,3915,0
1321,8,3975,0
1332,6,3990,0
1301,8,3897,0
1295,10,3891,0
1285,5,3849,1
1307,10,3936,0
1299,6,3903,0
1345,10,4038,0
1315,7,3951,0
1315,6,3954,0
1313,6,3933,0
1323,9,3972,0
1319,5,3969,0
1321,6,3960,1
1303,10,3912,0
1292,10,3879,0
1311,8,3933,0
1308,7,3951,1
1291,6,3873,0
1300,4,3900,0
1301,10,3915,1
1301,5,3915,0
1304,4,3912,0
1316,7,3951,0
1312,5,3930,0
1325,6,3975,0
1315,6,3951,0
1303,9,3912,0
1299,5,3900,0
1325,1,3978,0
1327,9,3981,0
1313,6,3942,0
1318,7,3963,1
1302,4,3906,0
1306,9,3921,0
1301,5,3909,0
1305,2,3918,0
1302,2,3912,0
1304,4,3906,0
1300,6,3909,0
1305,10,3927,0
1303,8,3903,0
1327,6,3987,1
1308,4,3921,1
1283,11,3849,0
1342,5,4023,0
1295,4,3888,0
1299,8,3897,0
1316,11,3948,0
1293,6,3879,0
1324,8,3966,0
1327,6,3996,0
1317,10,3945,0
1290,8,3858,0
1305,4,3921,0
1326,7,3975,0
1281,13,3849,0
1319,2,3957,0
1278,3,3837,0
1335,11,4002,0
1290,11,3870,0
1323,6,3963,1
1311,4,3936,0
1328,5,3993,0
1311,8,3954,0
1313,5,3948,0
1319,7,3969,0
1321,5,3969,0
1341,3,4029,0
1320,6,3963,0
1286,11,3867,0
1311,4,3924,0
1303,8,3924,0
1298,7,3885,0
1316,8,3951,0
1313,9,3939,0
1310,6,3939,0
1300,7,3912,0
1331,6,3987,0
1285,8,3867,0
1325,6,3978,0
