recovery_query,ori_err_cof,check_query,recollect_query,err_cof,total_query
1306,9,256,110,0,1672
1301,5,256,54,1,1611
1305,2,256,32,0,1593
1302,2,256,30,2,1588
1304,4,256,65,0,1625
1300,6,256,67,1,1623
1305,10,256,108,1,1669
1303,8,256,88,0,1647
1327,6,256,60,0,1643
1308,4,256,74,1,1638
1283,11,256,153,2,1692
1342,5,256,62,0,1660
1295,4,256,37,1,1588
1299,8,256,70,1,1625
1316,11,256,124,2,1696
1293,6,256,70,0,1619
1324,8,256,100,1,1680
1327,6,256,95,0,1678
1317,10,256,116,1,1689
1290,8,256,108,0,1654
1305,4,256,74,1,1635
1326,7,256,78,0,1660
1281,13,256,130,1,1667
1319,2,256,18,1,1593
1278,3,256,50,0,1584
1335,11,256,133,1,1724
1290,11,256,103,1,1649
1323,6,256,72,1,1651
1311,4,256,67,0,1634
1328,5,256,64,0,1648
1311,8,256,84,1,1651
1313,5,256,41,2,1610
1319,7,256,107,0,1682
1321,5,256,72,0,1649
1341,3,256,60,1,1657
1320,6,256,76,1,1652
1286,11,256,105,3,1647
1311,4,256,51,0,1618
1303,8,256,91,0,1650
1298,7,256,72,0,1626
1316,8,256,93,0,1665
1313,9,256,115,0,1684
1310,6,256,69,1,1635
1300,7,256,72,1,1628
1331,6,256,50,2,1637
1285,8,256,78,1,1619
1325,6,256,93,0,1674
1314,9,256,93,0,1663
1303,6,256,63,0,1622
1288,4,256,29,2,1573
1310,8,256,112,1,1678
1317,10,256,105,1,1678
1323,10,256,132,0,1711
1285,9,256,87,1,1628
1302,7,256,92,1,1650
1317,4,256,43,1,1616
1317,4,256,61,0,1634
1281,1,256,26,0,1563
1290,5,256,62,0,1608
1271,5,256,52,0,1579
1345,5,256,71,0,1672
1293,8,256,122,1,1671
1314,4,256,49,0,1619
1309,7,256,81,0,1646
1295,3,256,39,0,1590
1300,6,256,104,1,1660
1325,7,256,87,0,1668
1289,7,256,85,0,1630
1308,7,256,68,0,1632
1308,7,256,81,0,1645
1318,4,256,61,0,1635
1302,7,256,95,1,1653
1334,7,256,108,1,1698
1287,4,256,70,1,1613
1338,6,256,67,0,1661
1328,7,256,89,1,1673
1283,6,256,63,0,1602
1312,5,256,76,0,1644
1321,5,256,55,1,1632
1296,5,256,55,0,1607
1321,15,256,182,1,1759
1299,8,256,87,1,1642
1311,5,256,49,1,1616
1331,6,256,84,0,1671
1299,2,256,51,0,1606
1332,6,256,84,1,1672
1300,4,256,66,0,1622
1320,3,256,43,0,1619
1288,6,256,80,0,1624
1324,13,256,138,2,1718
1312,5,256,75,0,1643
1327,7,256,76,0,1659
1326,7,256,77,1,1659
1323,3,256,43,0,1622
1318,3,256,32,0,1606
1306,8,256,96,0,1658
1295,9,256,102,0,1653
1306,7,256,73,0,1635
1297,11,256,111,0,1664
1326,7,256,92,0,1674
1313,6,256,61,1,1630
1308,10,256,119,1,1683
1290,4,256,41,0,1587
1305,3,256,51,0,1612
1270,10,256,91,1,1617
