recovery_query,ori_err_cof,check_query,recollect_query,err_cof,total_query
1329,7,256,294,0,1879
1296,17,256,516,0,2068
1311,12,256,348,1,1915
1295,8,256,279,0,1830
1321,11,256,348,0,1925
1303,10,256,366,0,1925
1319,13,256,480,1,2055
1333,6,256,216,0,1805
1322,11,256,354,2,1932
1316,10,256,279,1,1851
1316,17,256,513,2,2085
1294,13,256,450,0,2000
1299,10,256,447,0,2002
1312,21,256,666,0,2234
1288,15,256,456,2,2000
1314,5,256,150,0,1720
1303,14,256,531,0,2090
1299,12,256,423,0,1978
1300,11,256,351,0,1907
1309,15,256,516,0,2081
1312,10,256,447,0,2015
1308,9,256,306,0,1870
1328,15,256,594,1,2178
1299,13,256,303,2,1858
1304,8,256,279,0,1839
1310,11,256,333,0,1899
1304,15,256,450,1,2010
1280,9,256,408,0,1944
1313,16,256,531,0,2100
1286,15,256,438,0,1980
1313,9,256,300,0,1869
1332,14,256,447,0,2035
1294,14,256,477,1,2027
1328,12,256,351,1,1935
1295,13,256,369,0,1920
1292,10,256,489,0,2037
1341,12,256,396,0,1993
1295,8,256,300,0,1851
1305,13,256,447,0,2008
1305,7,256,228,0,1789
1306,11,256,387,0,1949
1334,9,256,342,0,1932
1298,9,256,387,1,1941
1324,11,256,510,0,2090
1338,16,256,504,0,2098
1322,17,256,558,0,2136
1312,14,256,504,0,2072
1309,11,256,342,1,1907
1300,10,256,375,0,1931
1304,11,256,435,0,1995
1294,10,256,450,0,2000
1339,9,256,390,0,1985
1307,11,256,357,1,1920
1298,9,256,480,1,2034
1329,18,256,603,0,2188
1307,15,256,567,1,2130
1324,12,256,447,1,2027
1310,10,256,327,0,1893
1299,13,256,390,0,1945
1339,15,256,522,0,2117
1290,14,256,438,0,1984
1328,14,256,402,1,1986
1311,15,256,450,2,2017
1317,12,256,447,0,2020
1300,17,256,561,0,2117
1315,12,256,363,0,1934
1298,13,256,327,2,1881
1300,15,256,474,0,2030
1300,8,256,282,0,1838
1309,18,256,510,1,2075
1338,9,256,345,1,1939
1273,8,256,369,1,1898
1295,17,256,534,0,2085
1309,16,256,606,0,2171
1307,21,256,732,0,2295
1292,16,256,501,0,2049
1316,9,256,279,0,1851
1314,20,256,618,0,2188
1316,14,256,588,0,2160
1306,7,256,327,0,1889
1304,13,256,423,0,1983
1305,17,256,594,0,2155
1317,10,256,387,0,1960
1293,14,256,447,0,1996
1314,15,256,537,0,2107
1306,14,256,429,0,1991
1319,18,256,558,1,2133
1296,12,256,360,0,1912
1314,13,256,501,0,2071
1316,25,256,780,1,2352
1309,16,256,579,1,2144
