recovery_query,ori_err_cof,query_with_vote,err_cof
1329,7,3987,0
1296,17,3909,0
1311,12,3939,0
1295,8,3888,0
1321,11,3975,0
1303,10,3915,0
1319,13,3960,2
1333,6,4002,0
1322,11,3981,0
1316,10,3954,0
1316,17,3957,0
1294,13,3903,1
1299,10,3897,1
1312,21,3948,3
1288,15,3870,0
1314,5,3945,0
1303,14,3918,0
1299,12,3897,0
1300,11,3885,1
1309,15,3921,0
1312,10,3951,0
1308,9,3915,0
1328,15,3981,1
1299,13,3909,0
1304,8,3927,1
1310,11,3942,1
1304,15,3918,0
1280,9,3855,0
1313,16,3939,1
1286,15,3888,0
1313,9,3942,0
1332,14,3981,1
1294,14,3891,2
1328,12,3984,0
1295,13,3888,0
1292,10,3861,1
1341,12,4026,0
1295,8,3891,0
1305,13,3915,1
1305,7,3918,1
1306,11,3918,0
1334,9,4017,2
1298,9,3894,0
1324,11,3975,0
1338,16,4008,2
1322,17,3972,1
1312,14,3942,0
1309,11,3918,1
1300,10,3921,0
1304,11,3918,0
1294,10,3900,0
1339,9,4020,0
1307,11,3930,0
1298,9,3891,0
1329,18,3984,0
1307,15,3918,0
1324,12,3990,0
1310,10,3942,0
1299,13,3909,0
1339,15,4029,0
1290,14,3873,1
1328,14,3975,0
1311,15,3963,1
1317,12,3948,0
1300,17,3888,0
1315,12,3957,0
1298,13,3903,1
1300,15,3906,1
1300,8,3903,0
1309,18,3957,0
1338,9,4014,1
1273,8,3828,2
1295,17,3897,0
1309,16,3936,0
1307,21,3921,0
1292,16,3888,0
1316,9,3963,1
1314,20,3957,0
1316,14,3969,0
1306,7,3921,1
1304,13,3918,1
1305,17,3900,0
1317,10,3960,1
1293,14,3897,0
1314,15,3921,2
1306,14,3921,0
1319,18,3960,0
1296,12,3897,0
1314,13,3957,0
1316,25,3972,1
1309,16,3936,0
1281,13,3849,0
1316,14,3966,0
1308,17,3918,0
1312,7,3948,1
1310,14,3957,0
1298,14,3894,1
1286,16,3858,1
1302,9,3900,0
1301,7,3900,0
1283,12,3849,2
1311,6,3921,0
1308,11,3915,0
1320,11,3972,1
1319,16,3975,1
1297,15,3918,0
1292,11,3903,0
1291,18,3861,0
1320,7,3969,0
1328,8,3993,1
1299,20,3912,1
1321,11,3954,0
1304,11,3921,0
1313,13,3960,0
1274,17,3834,1
1317,13,3954,1
1328,11,3975,1
1290,12,3846,0
1303,12,3912,0
1299,14,3900,1
1317,14,3963,1
1300,17,3909,1
1309,11,3927,1
1311,19,3939,0
1329,11,3990,0
1293,10,3894,0
1300,16,3918,0
1290,14,3858,1
1358,11,4059,0
1311,10,3948,0
1289,12,3882,0
1328,18,4008,0
1305,14,3927,2
1303,14,3897,0
1355,8,4065,0
1331,16,3972,0
1314,12,3939,1
1325,12,3978,0
1337,12,4011,0
1294,10,3897,1
1301,12,3900,1
1274,9,3822,1
1267,13,3801,0
1318,18,3978,0
1305,10,3909,0
1314,13,3972,0
1296,10,3882,0
1314,12,3942,1
1332,9,3996,0
1298,10,3915,0
1302,16,3912,0
1310,16,3936,0
1299,21,3909,0
1323,12,3960,0
1293,12,3879,0
1306,17,3912,0
1325,15,3966,2
1307,16,3927,1
1311,8,3942,0
1305,10,3918,0
1325,18,3987,0
1280,11,3843,2
1320,18,3984,0
1313,9,3945,0
1301,15,3909,0
1320,14,3963,0
1303,14,3921,0
1317,4,3957,0
1317,14,3954,0
1302,11,3906,0
1315,8,3945,1
1316,17,3969,0
1295,13,3894,0
1314,20,3981,0
1321,10,3978,1
1267,14,3822,1
1307,14,3921,2
1296,13,3903,0
1322,13,3960,1
1294,5,3888,0
1317,16,3948,0
1291,11,3888,0
1311,12,3957,1
1303,4,3903,0
1296,14,3873,0
1285,7,3849,0
1310,21,3963,0
1330,11,3990,1
1325,13,3963,1
1311,10,3957,0
1298,14,3900,3
1298,17,3909,1
1321,13,3975,0
1329,13,3990,0
1302,11,3897,0
1296,14,3891,0
1283,13,3849,0
1307,15,3936,0
1295,12,3900,1
1344,15,4038,0
1312,16,3951,0
1311,13,3954,0
1313,11,3933,0
1318,15,3972,0
1325,11,3969,1
1324,7,3963,1
1304,17,3912,0
1291,15,3879,0
1311,12,3933,0
1314,12,3951,1
1292,13,3873,0
1302,12,3900,0
1301,12,3915,1
1308,13,3915,0
1304,16,3918,2
1315,9,3951,0
1309,9,3930,0
1324,16,3975,0
1318,10,3951,0
1304,12,3909,1
1293,12,3900,0
1323,7,3975,1
1325,14,3978,1
1308,13,3942,0
1318,17,3963,1
1304,11,3909,1
1306,14,3924,1
1298,9,3909,0
1300,10,3918,0
1303,6,3912,0
1303,10,3909,1
1297,15,3909,0
1301,17,3930,1
1304,14,3903,1
1328,14,3984,0
1311,16,3918,1
1283,16,3849,0
1343,9,4023,0
1295,8,3888,0
1299,13,3897,0
1312,21,3948,0
1292,12,3879,0
1320,16,3963,1
1323,12,3996,1
1321,20,3945,0
1290,15,3858,0
1312,12,3918,1
1323,10,3972,1
1281,18,3849,0
1319,13,3957,0
1276,9,3837,0
1329,14,4002,0
1285,24,3870,0
1323,9,3957,2
1309,13,3936,0
1328,12,3993,0
1311,18,3954,0
1309,14,3948,0
1319,10,3969,0
1322,11,3969,0
1338,9,4029,0
1321,10,3960,1
1287,17,3867,0
1311,11,3921,1
1306,14,3924,0
1299,16,3888,1
1315,19,3948,1
1308,15,3939,0
1315,15,3942,1
1300,15,3912,0
1319,11,3987,0
1285,12,3867,0
1323,11,3978,0
1308,15,3942,0
1306,12,3918,0
1281,12,3867,0
1311,20,3942,2
1319,14,3960,0
1318,18,3972,1
1282,15,3846,0
1305,15,3912,1
1313,15,3957,0
1315,8,3951,0
1277,5,3849,0
1291,13,3876,0
1272,12,3813,0
1337,11,4032,0
1294,12,3888,0
1308,9,3939,0
1309,12,3936,1
1294,9,3891,0
1300,18,3903,1
1326,9,3969,0
1294,10,3864,1
1307,9,3918,1
1305,13,3924,0
1317,8,3957,1
1308,12,3909,0
1332,14,4005,1
1286,7,3861,0
1339,11,4002,0
1328,12,3987,1
1280,15,3852,0
1308,11,3927,1
1321,9,3966,0
1291,11,3897,2
1317,22,3954,2
1298,10,3879,1
1309,10,3939,1
1326,11,3999,1
1297,13,3900,0
1334,12,4005,0
1299,7,3918,0
1320,11,3966,1
1285,14,3867,0
1327,20,3978,1
1305,11,3933,0
1323,15,3984,0
1325,12,3978,1
1321,11,3972,0
1310,11,3960,1
1306,16,3939,0
1294,19,3900,0
1308,9,3921,0
1292,16,3882,1
1324,15,3978,1
1307,16,3945,1
1307,19,3921,1
1293,18,3879,1
1304,10,3921,0
1270,21,3801,0
1297,8,3894,1
1313,10,3954,0
1311,10,3936,0
1322,13,3987,0
1275,18,3822,0
1305,16,3912,0
1297,15,3909,1
1303,9,3921,0
1327,17,3990,1
1313,12,3942,0
1292,11,3882,0
1294,6,3885,1
1313,12,3933,0
1305,17,3924,0
1320,9,3945,0
1312,10,3939,0
1321,11,3969,1
1313,15,3945,1
1309,8,3918,0
1315,18,3957,0
1331,13,4002,0
1292,13,3873,0
1322,10,3978,1
1315,7,3933,2
1311,15,3963,1
1304,10,3912,0
1321,12,3963,0
1322,19,3993,0
1304,8,3909,2
1272,20,3852,0
1345,12,4038,0
1288,14,3864,3
1309,10,3930,0
1318,18,3972,0
1323,18,3975,0
1317,12,3951,0
1312,13,3951,0
1285,9,3864,0
1318,11,3966,1
1307,15,3945,0
1314,10,3954,0
1343,12,4032,1
1323,12,3975,1
1326,13,3966,0
1302,12,3912,0
1297,12,3891,1
1327,16,3966,0
1329,11,3981,1
1352,13,4044,0
1332,18,4002,0
1329,10,3972,0
1314,9,3945,0
1333,14,4011,0
1324,14,3975,1
1318,22,3957,0
1311,10,3933,0
1309,14,3933,0
1322,12,3978,0
1296,8,3894,0
1300,8,3900,1
1320,14,3963,1
1295,14,3891,2
1304,16,3927,1
1329,21,3993,0
1294,15,3879,0
1270,13,3807,1
1299,18,3909,0
1318,13,3951,0
1312,13,3939,0
1330,17,4011,0
1314,10,3948,1
1328,16,3999,0
1330,9,3993,0
1300,9,3909,1
1299,7,3912,0
1303,8,3912,2
1298,10,3897,0
1316,16,3939,0
1298,16,3900,0
1315,18,3999,0
1318,21,3990,0
1304,11,3930,0
1317,12,3966,0
1300,13,3888,1
1299,15,3915,0
1308,15,3906,1
1317,15,3969,0
1320,17,3987,0
1271,12,3813,0
1312,15,3957,0
1315,19,3945,0
1319,13,3978,0
1327,14,3972,0
1323,9,3969,1
1317,17,3963,0
1310,9,3933,1
1310,10,3936,1
1322,13,3972,1
1321,19,3972,0
1280,13,3846,1
1307,11,3939,1
1291,16,3879,0
1310,13,3957,1
1279,12,3843,0
1321,8,3963,0
1307,12,3936,0
1352,13,4065,0
1314,12,3954,1
1336,10,3999,1
1301,14,3897,0
1298,12,3906,0
1308,14,3927,0
1327,12,3984,0
1311,13,3951,0
1318,11,3960,0
1293,12,3903,1
1314,16,3936,0
1304,11,3927,2
1304,13,3927,0
1293,12,3879,0
1313,14,3939,0
1314,17,3948,0
1322,16,3987,1
1305,10,3909,1
1294,11,3873,0
1302,13,3909,2
1324,12,3972,0
1293,17,3876,0
1291,12,3876,0
1301,11,3903,0
1308,12,3939,2
1320,7,3972,2
1323,18,3981,0
1287,10,3864,1
1300,14,3915,0
1305,9,3921,0
1302,12,3918,0
1308,11,3927,0
1284,9,3849,0
1308,18,3933,1
1296,13,3906,0
1315,17,3948,1
1319,8,3954,2
1326,8,3975,0
1298,18,3915,0
1297,13,3891,2
1302,12,3912,0
1308,16,3939,0
1311,14,3933,1
1310,14,3942,0
1319,16,3969,0
1312,11,3939,2
1289,13,3879,0
1327,11,3975,0
1305,11,3903,1
1324,9,3975,0
1326,10,3993,2
1316,14,3945,1
1306,7,3924,0
1296,7,3888,0
1310,7,3927,0
1338,14,3999,1
1314,15,3957,0
1320,16,3981,2
1300,14,3918,0
1297,10,3900,0
1294,10,3879,1
1317,12,3960,0
1321,9,3969,0
1290,17,3906,0
1303,14,3912,0
1306,12,3933,0
1307,13,3942,0
1307,10,3924,1
1314,8,3948,0
1301,7,3918,1
1283,6,3864,0
1293,12,3903,1
1323,9,3963,0
1280,11,3846,1
1328,15,3996,0
1354,14,4077,0
1306,18,3945,0
1305,15,3924,1
1307,15,3918,0
1324,11,3987,0
1292,7,3864,0
1324,16,3963,0
1284,9,3855,0
1301,14,3927,1
1300,13,3906,0
1301,10,3915,0
1301,13,3918,1
1298,17,3894,1
1301,8,3903,0
1322,8,3969,0
1305,8,3909,1
1297,17,3888,0
1278,16,3858,0
1308,11,3927,0
1360,12,4080,0
1283,7,3873,0
1331,9,3999,0
1335,14,4005,1
1305,17,3915,0
1307,9,3921,1
1294,10,3879,0
1330,19,4017,0
1308,9,3927,0
1296,11,3891,2
1292,12,3861,0
1320,16,3957,0
1277,14,3858,0
1325,19,3957,0
1321,14,3969,0
1323,11,3972,1
1311,14,3933,2
1303,13,3918,0
1297,9,3885,1
1319,12,3960,1
1317,13,3963,0
1307,12,3942,0
1324,11,3984,0
1300,12,3900,0
1286,7,3861,0
1292,14,3882,0
1302,8,3897,0
1318,14,3960,0
1336,10,4002,0
1296,9,3906,0
1309,12,3930,0
1314,16,3939,2
1299,18,3906,1
1317,19,3948,1
1299,10,3897,0
1295,15,3897,0
1309,13,3930,0
1321,14,3960,0
1284,14,3864,1
1320,15,3957,0
1336,13,4005,2
1329,6,3981,0
1322,13,3969,1
1337,9,4020,1
1304,11,3906,1
1296,14,3912,0
1284,14,3843,0
1296,15,3900,1
1304,16,3918,0
1310,17,3927,1
1315,13,3948,0
1302,13,3933,0
1295,19,3894,0
1317,9,3948,0
1321,15,3957,0
1331,15,3981,0
1327,8,3996,0
1293,16,3879,0
1304,14,3930,0
1336,14,4005,0
1324,16,3981,0
1332,13,4011,2
1282,11,3843,0
1307,17,3921,0
1307,15,3936,0
1320,12,3951,1
1329,8,3999,0
1311,13,3936,0
1315,13,3969,0
1317,6,3945,0
1302,11,3903,2
1319,7,3972,2
1302,14,3918,2
1319,17,3948,0
1319,17,3936,0
1298,16,3912,0
1304,15,3912,1
1307,12,3918,0
1292,13,3867,2
1312,14,3951,0
1323,19,3984,1
1287,16,3864,2
1289,9,3858,1
1299,14,3909,0
1308,17,3927,0
1298,17,3903,1
1305,16,3900,1
1290,14,3885,0
1295,14,3906,1
1311,15,3933,1
1302,15,3909,0
1278,12,3828,0
1308,10,3921,0
1296,19,3879,0
1312,8,3954,1
1274,12,3819,0
1316,4,3957,1
1305,9,3921,0
1303,15,3930,2
1298,20,3900,1
1331,11,3996,0
1320,19,3954,0
1334,13,3999,0
1283,12,3861,0
1303,11,3903,0
1313,10,3945,0
1322,14,3972,0
1306,15,3927,2
1320,15,3990,1
1329,21,3960,2
1306,14,3915,0
1315,16,3951,2
1302,10,3906,0
1301,9,3918,0
1327,17,3999,0
1311,14,3936,1
1342,13,4038,0
1282,12,3846,0
1308,15,3927,1
1313,18,3948,0
1302,17,3924,0
1291,14,3903,0
1312,11,3942,0
1335,9,3999,0
1314,6,3930,0
1295,21,3927,1
1304,10,3918,0
1312,21,3939,0
1298,16,3912,0
1295,10,3891,0
1292,13,3885,0
1308,9,3933,0
1325,13,3987,0
1306,14,3918,1
1320,18,3957,2
1289,15,3879,1
1297,13,3894,1
1316,13,3966,1
1316,8,3951,1
1306,18,3936,0
1312,15,3936,0
1295,8,3888,1
1311,11,3942,0
1330,19,3990,0
1308,8,3921,0
1300,10,3909,0
1293,11,3897,0
1312,15,3969,0
1311,18,3951,0
1294,7,3879,0
1307,14,3906,0
1322,11,3966,0
1287,12,3870,0
1324,10,3963,0
1331,14,3987,0
1300,10,3909,1
1302,20,3933,0
1309,14,3927,2
1333,6,3993,0
1323,18,3975,0
1284,14,3855,0
1321,5,3954,1
1314,15,3960,2
1302,11,3930,0
1299,13,3909,0
1316,16,3966,0
1307,17,3933,0
1312,17,3945,1
1316,12,3963,0
1320,8,3960,1
1310,14,3933,0
1307,14,3918,0
1310,19,3942,0
1319,11,3972,1
1300,14,3891,0
1304,9,3918,1
1302,8,3921,0
1314,15,3933,1
1298,14,3918,0
1312,10,3942,0
1273,11,3834,2
1335,16,4017,0
1285,20,3864,1
1321,14,3984,0
1334,11,4002,1
1319,10,3960,1
1294,10,3879,0
1283,21,3840,1
1332,10,3993,1
1324,15,3960,1
1311,15,3948,1
1303,9,3915,0
1297,15,3894,0
1301,17,3918,1
1296,13,3906,0
1341,11,4020,0
1309,14,3927,0
1314,17,3945,0
1307,12,3906,0
1308,10,3924,0
1303,13,3906,0
1297,7,3894,0
1294,15,3903,0
1326,17,3996,1
1308,12,3927,0
1319,8,3972,0
1283,14,3858,0
1315,18,3954,0
1330,10,3990,0
1294,19,3918,0
1324,17,3987,0
1310,15,3939,0
1328,7,3990,0
1297,15,3888,1
1321,7,3975,1
1308,10,3927,0
1305,14,3930,1
1318,8,3945,0
1308,11,3927,0
1305,19,3936,0
1308,5,3921,0
1301,6,3900,1
1288,10,3867,0
1313,15,3957,0
1328,10,3987,0
1298,12,3906,0
1293,14,3888,0
1315,15,3969,1
1304,10,3912,0
1284,10,3855,0
1342,9,4035,1
1314,9,3951,1
1304,10,3915,0
1343,9,4032,1
1289,10,3876,0
1305,19,3921,0
1289,17,3873,0
1292,9,3894,0
1310,19,3933,0
1321,17,3984,1
1340,11,4017,1
1302,13,3915,0
1310,18,3957,0
1310,13,3939,0
1331,14,4002,0
1306,17,3930,1
1290,19,3870,1
1307,15,3936,1
1310,7,3924,2
1289,11,3867,0
1312,16,3939,0
1324,15,3975,0
1292,16,3888,0
1311,11,3951,0
1280,11,3843,0
1355,9,4059,0
1312,6,3933,0
1317,6,3951,2
1319,10,3954,0
1313,7,3936,1
1313,10,3945,0
1335,16,4014,0
1287,15,3864,0
1293,8,3876,0
1294,10,3888,0
1322,11,3984,0
1307,14,3930,0
1303,15,3912,0
1295,8,3897,0
1299,9,3894,0
1314,9,3942,2
1317,14,3969,1
1293,16,3897,0
1317,7,3945,0
1329,14,3981,0
1308,17,3939,0
1302,10,3915,1
1307,17,3930,0
1306,7,3924,0
1303,10,3924,0
1303,15,3921,1
1328,11,3987,0
1310,13,3954,0
1295,12,3903,0
1313,17,3933,1
1316,9,3936,0
1311,4,3924,0
1337,13,4005,0
1302,14,3912,1
1285,8,3861,0
1320,21,3948,0
1291,17,3891,0
1295,13,3876,0
1320,9,3969,1
1308,14,3921,0
1307,17,3945,0
1313,14,3945,0
1330,13,3996,0
1266,9,3792,0
1315,11,3960,0
1307,17,3942,2
1287,12,3855,0
1303,9,3921,0
1301,9,3900,0
1328,14,3984,0
1341,12,4032,0
1285,6,3855,0
1307,13,3912,1
1278,7,3828,0
1314,16,3954,1
1314,8,3948,0
1281,9,3861,0
1303,13,3921,0
1296,12,3882,0
1293,20,3885,0
1296,13,3882,0
1302,14,3921,0
1321,19,3978,1
1330,12,3984,0
1321,13,3960,0
1297,15,3906,0
1300,13,3903,0
1309,12,3924,0
1310,14,3930,0
1310,11,3945,0
1305,13,3921,0
1284,16,3879,1
1311,16,3954,1
1309,11,3912,1
1321,13,3969,0
1307,8,3942,0
1302,15,3906,0
1305,13,3927,1
1300,10,3906,0
1298,13,3897,1
1326,17,3981,1
1299,9,3915,0
1325,11,3975,0
1306,18,3945,0
1303,14,3912,1
1281,11,3861,0
1305,15,3897,1
1302,12,3915,0
1291,10,3882,1
1322,8,3975,1
1302,13,3915,0
1327,12,3969,0
1305,13,3927,0
1293,17,3882,0
1318,17,3969,0
1334,15,3993,1
1316,6,3948,0
