recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
--new--train--round--
1322,62,256,624,36,2202
1322,62,256,624,36,2202
1291,60,256,595,47,2142
1301,53,256,495,34,2052
1283,57,256,533,34,2072
1318,56,256,521,36,2095
1313,51,256,526,26,2095
1294,53,256,586,21,2136
1321,62,256,642,24,2219
1319,53,256,569,38,2144
1311,59,256,463,38,2030
1305,73,256,710,25,2271
1296,70,256,579,33,2131
1296,61,256,532,27,2084
1302,67,256,642,41,2200
1302,62,256,545,32,2103
1304,55,256,540,30,2100
1290,64,256,567,31,2113
1300,55,256,560,25,2116
1286,60,256,576,31,2118
--new--train--round--
1322,62,512,955,17,2789
1322,62,512,955,17,2789
1291,60,512,1040,23,2843
1301,53,512,970,12,2783
1283,57,512,914,16,2709
1318,56,512,932,9,2762
1313,51,512,912,12,2737
1294,53,512,878,11,2684
1321,62,512,995,7,2828
1319,53,512,995,16,2826
1311,59,512,859,25,2682
1305,73,512,1075,11,2892
1296,70,512,912,18,2720
1296,61,512,887,11,2695
1302,67,512,1102,18,2916
1302,62,512,960,17,2774
1304,55,512,899,11,2715
1290,64,512,1005,10,2807
1300,55,512,880,6,2692
1286,60,512,894,13,2692
--new--train--round--
1322,62,768,1255,8,3345
1322,62,768,1255,8,3345
1291,60,768,1320,9,3379
1301,53,768,1204,4,3273
1283,57,768,1140,8,3191
1318,56,768,1157,5,3243
1313,51,768,1147,5,3228
1294,53,768,1106,6,3168
1321,62,768,1195,4,3284
1319,53,768,1304,9,3391
1311,59,768,1196,13,3275
1305,73,768,1253,4,3326
1296,70,768,1225,11,3289
1296,61,768,1096,6,3160
1302,67,768,1348,8,3418
1302,62,768,1211,5,3281
1304,55,768,1106,4,3178
1290,64,768,1244,6,3302
1300,55,768,1041,2,3109
1286,60,768,1138,4,3192
--new--train--round--
1322,62,1020,1380,7,3722
1322,62,1020,1380,7,3722
1291,60,1022,1447,6,3760
1301,53,1014,1339,4,3654
1283,57,1012,1297,3,3592
1318,56,1016,1240,2,3574
1313,51,1020,1228,3,3561
1294,53,1018,1206,5,3518
1321,62,1020,1337,4,3678
1319,53,1022,1455,2,3796
1311,59,1022,1359,11,3692
1305,73,1022,1366,3,3693
1296,70,1018,1378,8,3692
1296,61,1016,1247,5,3559
1302,67,1024,1488,8,3814
1302,62,1016,1352,2,3670
1304,55,1024,1226,3,3554
1290,64,1022,1384,6,3696
1300,55,1020,1127,1,3447
1286,60,1022,1238,1,3546
--new--train--round--
1322,62,1122,1432,4,3876
1322,62,1122,1432,4,3876
1291,60,1136,1492,2,3919
1301,53,1144,1369,2,3814
1283,57,1124,1318,2,3725
1318,56,1130,1252,1,3700
1313,51,1116,1247,1,3676
1294,53,1092,1224,4,3610
1321,62,1128,1364,2,3813
1319,53,1152,1486,0,3957
1311,59,1154,1407,9,3872
1305,73,1120,1381,1,3806
1296,70,1144,1409,1,3849
1296,61,1106,1272,3,3674
1302,67,1144,1525,4,3971
1302,62,1134,1387,1,3823
1304,55,1120,1248,2,3672
1290,64,1138,1413,6,3841
1300,55,1098,1135,1,3533
1286,60,1128,1255,0,3669
--new--train--round--
1322,62,1150,1454,2,3926
1322,62,1150,1454,2,3926
1291,60,1164,1500,2,3955
1301,53,1168,1375,1,3844
1283,57,1148,1325,2,3756
1318,56,1146,1255,1,3719
1313,51,1138,1255,1,3706
1294,53,1110,1234,3,3638
1321,62,1140,1369,0,3830
1319,53,1184,1495,0,3998
1311,59,1194,1433,6,3938
1305,73,1140,1384,1,3829
1296,70,1178,1425,0,3899
1296,61,1124,1284,3,3704
1302,67,1174,1537,3,4013
1302,62,1162,1390,0,3854
1304,55,1132,1253,1,3689
1290,64,1154,1429,4,3873
1300,55,1108,1138,1,3546
1286,60,1148,1255,0,3689
--new--train--round--
1322,62,1174,1463,1,3959
1322,62,1174,1463,1,3959
1291,60,1188,1512,2,3991
1301,53,1186,1386,1,3873
1283,57,1166,1333,1,3782
1318,56,1160,1262,1,3740
1313,51,1156,1260,1,3729
1294,53,1124,1246,2,3664
1321,62,1150,1369,0,3840
1319,53,1204,1495,0,4018
1311,59,1230,1449,3,3990
1305,73,1152,1387,1,3844
1296,70,1208,1425,0,3929
1296,61,1142,1293,2,3731
1302,67,1200,1554,2,4056
1302,62,1190,1390,0,3882
1304,55,1144,1255,0,3703
1290,64,1166,1440,3,3896
1300,55,1116,1141,0,3557
1286,60,1164,1255,0,3705
--new--train--round--
1322,62,1186,1466,1,3974
1322,62,1186,1466,1,3974
1291,60,1200,1518,0,4009
1301,53,1194,1389,0,3884
1283,57,1170,1339,1,3792
1318,56,1166,1265,1,3749
1313,51,1162,1264,0,3739
1294,53,1134,1253,1,3681
1321,62,1156,1369,0,3846
1319,53,1214,1498,0,4031
1311,59,1254,1459,2,4024
1305,73,1156,1390,0,3851
1296,70,1224,1428,0,3948
1296,61,1152,1297,1,3745
1302,67,1214,1566,2,4082
1302,62,1196,1390,0,3888
1304,55,1150,1255,0,3709
1290,64,1180,1450,3,3920
1300,55,1118,1141,0,3559
1286,60,1164,1255,0,3705
--new--train--round--
1322,62,1192,1466,1,3980
1322,62,1192,1466,1,3980
1291,60,1204,1518,0,4013
1301,53,1198,1392,0,3891
1283,57,1174,1341,1,3798
1318,56,1168,1269,1,3755
1313,51,1164,1264,0,3741
1294,53,1140,1255,1,3689
1321,62,1158,1369,0,3848
1319,53,1214,1498,0,4031
1311,59,1268,1465,2,4044
1305,73,1158,1390,0,3853
1296,70,1228,1428,0,3952
1296,61,1158,1299,1,3753
1302,67,1220,1574,1,4096
1302,62,1198,1390,0,3890
1304,55,1154,1255,0,3713
1290,64,1190,1456,3,3936
1300,55,1120,1141,0,3561
1286,60,1164,1255,0,3705
--new--train--round--
1322,62,1198,1469,1,3989
1322,62,1198,1469,1,3989
1291,60,1208,1518,0,4017
1301,53,1202,1392,0,3895
1283,57,1178,1343,1,3804
1318,56,1170,1272,0,3760
1313,51,1166,1264,0,3743
1294,53,1146,1258,1,3698
1321,62,1160,1369,0,3850
1319,53,1214,1498,0,4031
1311,59,1282,1471,2,4064
1305,73,1160,1390,0,3855
1296,70,1232,1428,0,3956
1296,61,1164,1301,0,3761
1302,67,1226,1577,0,4105
1302,62,1200,1390,0,3892
1304,55,1158,1255,0,3717
1290,64,1200,1469,3,3959
1300,55,1122,1141,0,3563
1286,60,1164,1255,0,3705
--new--train--round--
1322,62,1202,1472,1,3996
1322,62,1202,1472,1,3996
1291,60,1212,1518,0,4021
