recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
1301,112,2220,3614,2,7135
1259,123,2250,4195,5,7704
--new--train--round--
1317,119,2384,4107,1,7808
1317,119,2384,4107,1,7808
1289,114,2330,4096,1,7715
1276,112,2324,4014,0,7614
1284,107,2348,3893,6,7525
1303,118,2304,4149,0,7756
1292,108,2276,3783,1,7351
1307,118,2308,4165,1,7780
1307,127,2342,4131,2,7780
1306,123,2360,4200,3,7866
1313,113,2322,4058,1,7693
1291,126,2300,4219,4,7810
1302,121,2334,4034,1,7670
1274,125,2324,4131,2,7729
1276,126,2326,4187,1,7789
1274,126,2364,3998,6,7636
1296,109,2356,4042,1,7694
1282,132,2346,4151,2,7779
1301,112,2274,3627,2,7202
1259,123,2314,4224,3,7797
--new--train--round--
1317,119,2434,4130,1,7881
1317,119,2434,4130,1,7881
1289,114,2380,4119,0,7788
1276,112,2362,4037,0,7675
1284,107,2402,3918,5,7604
1303,118,2348,4163,0,7814
1292,108,2308,3801,1,7401
1307,118,2350,4176,1,7833
1307,127,2392,4149,2,7848
1306,123,2410,4217,3,7933
1313,113,2372,4085,0,7770
1291,126,2356,4244,3,7891
1302,121,2382,4045,0,7729
1274,125,2380,4158,0,7812
1276,126,2360,4203,1,7839
1274,126,2414,4025,4,7713
1296,109,2388,4056,1,7740
1282,132,2376,4164,1,7822
1301,112,2308,3637,1,7246
1259,123,2360,4237,2,7856
--new--train--round--
1317,119,2450,4132,1,7899
1317,119,2450,4132,1,7899
1289,114,2398,4122,0,7809
1276,112,2378,4041,0,7695
1284,107,2430,3937,5,7651
1303,118,2360,4163,0,7826
1292,108,2322,3812,0,7426
1307,118,2374,4184,0,7865
1307,127,2412,4159,2,7878
1306,123,2436,4232,3,7974
1313,113,2384,4085,0,7782
1291,126,2384,4257,2,7932
1302,121,2400,4049,0,7751
1274,125,2404,4165,0,7843
1276,126,2378,4212,1,7866
1274,126,2444,4040,5,7758
1296,109,2398,4063,1,7757
