recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
--new--train--round--
1321,52,256,513,18,2090
1321,52,256,513,18,2090
1300,50,256,487,31,2043
1303,44,256,461,25,2020
1295,45,256,470,22,2021
1326,44,256,471,28,2053
1306,38,256,359,20,1921
1302,47,256,482,11,2040
1322,47,256,457,18,2035
1322,48,256,498,21,2076
1315,50,256,504,26,2075
1295,63,256,617,25,2168
1296,54,256,463,27,2015
1282,44,256,469,13,2007
1299,58,256,509,27,2064
1307,53,256,526,27,2089
1304,44,256,424,22,1984
1313,54,256,454,24,2023
1297,41,256,406,18,1959
1290,48,256,474,24,2020
--new--train--round--
1321,52,512,832,9,2665
1321,52,512,832,9,2665
1300,50,512,884,14,2696
1303,44,512,851,8,2666
1295,45,512,768,7,2575
1326,44,512,770,8,2608
1306,38,512,598,13,2416
1302,47,512,693,4,2507
1322,47,512,679,10,2513
1322,48,512,772,12,2606
1315,50,512,850,8,2677
1295,63,512,908,16,2715
1296,54,512,769,11,2577
1282,44,512,675,4,2469
1299,58,512,965,12,2776
1307,53,512,852,9,2671
1304,44,512,680,12,2496
1313,54,512,813,10,2638
1297,41,512,606,6,2415
1290,48,512,757,8,2559
--new--train--round--
1321,52,768,1001,5,3090
1321,52,768,1001,5,3090
1300,50,768,1060,4,3128
1303,44,768,1016,4,3087
1295,45,768,946,3,3009
1326,44,768,948,3,3042
1306,38,768,823,6,2897
1302,47,768,823,3,2893
1322,47,768,871,5,2961
1322,48,768,1003,6,3093
1315,50,768,1041,4,3124
1295,63,768,1155,10,3218
1296,54,768,990,4,3054
1282,44,768,773,2,2823
1299,58,768,1183,3,3250
1307,53,768,1089,6,3164
1304,44,768,903,5,2975
1313,54,768,933,7,3014
1297,41,768,721,2,2786
1290,48,768,938,3,2996
--new--train--round--
1321,52,938,1048,2,3307
1321,52,938,1048,2,3307
1300,50,932,1095,3,3327
1303,44,936,1078,3,3317
1295,45,926,983,1,3204
1326,44,948,985,3,3259
1306,38,912,882,4,3100
1302,47,906,856,2,3064
1322,47,920,909,5,3151
1322,48,936,1057,5,3315
1315,50,942,1097,4,3354
1295,63,968,1232,7,3495
1296,54,934,1049,3,3279
1282,44,898,794,1,2974
1299,58,956,1203,1,3458
1307,53,938,1166,3,3411
1304,44,922,926,2,3152
1313,54,934,1001,4,3248
1297,41,898,746,2,2941
1290,48,934,973,2,3197
--new--train--round--
1321,52,1040,1067,2,3428
1321,52,1040,1067,2,3428
1300,50,1040,1117,1,3457
1303,44,1054,1099,0,3456
1295,45,1016,994,1,3305
1326,44,1044,1005,1,3375
1306,38,990,904,3,3200
1302,47,974,865,1,3141
1322,47,1004,942,4,3268
1322,48,1028,1100,1,3450
1315,50,1056,1124,0,3495
1295,63,1080,1264,4,3639
1296,54,1058,1065,2,3419
1282,44,958,802,1,3042
1299,58,1060,1212,1,3571
1307,53,1056,1179,3,3542
1304,44,1004,941,1,3249
1313,54,1052,1033,1,3398
1297,41,960,761,0,3018
1290,48,1022,991,1,3303
--new--train--round--
1321,52,1060,1075,1,3456
1321,52,1060,1075,1,3456
1300,50,1064,1126,1,3490
1303,44,1078,1103,0,3484
1295,45,1034,996,1,3325
1326,44,1058,1011,0,3395
1306,38,1020,917,2,3243
1302,47,984,868,1,3154
1322,47,1026,957,3,3305
1322,48,1060,1110,1,3492
1315,50,1080,1124,0,3519
1295,63,1110,1275,4,3680
1296,54,1084,1069,2,3449
1282,44,968,806,1,3056
1299,58,1090,1215,1,3604
1307,53,1090,1198,3,3595
1304,44,1028,945,1,3277
1313,54,1076,1039,1,3428
1297,41,972,764,0,3033
1290,48,1044,997,1,3331
--new--train--round--
1321,52,1080,1075,1,3476
1321,52,1080,1075,1,3476
1300,50,1092,1129,0,3521
1303,44,1100,1103,0,3506
1295,45,1050,999,1,3344
1326,44,1074,1011,0,3411
1306,38,1050,923,0,3279
1302,47,994,872,1,3168
1322,47,1050,969,2,3341
1322,48,1092,1116,0,3530
1315,50,1104,1130,0,3549
1295,63,1142,1286,2,3723
1296,54,1110,1075,1,3481
1282,44,978,812,0,3072
1299,58,1122,1218,0,3639
1307,53,1126,1216,3,3649
1304,44,1052,949,1,3305
1313,54,1100,1045,1,3458
1297,41,984,767,0,3048
1290,48,1066,1003,1,3359
--new--train--round--
1321,52,1086,1079,1,3486
1321,52,1086,1079,1,3486
1300,50,1102,1129,0,3531
1303,44,1108,1103,0,3514
1295,45,1054,1001,1,3350
1326,44,1080,1011,0,3417
1306,38,1064,923,0,3293
1302,47,998,876,0,3176
1322,47,1060,974,1,3356
1322,48,1104,1116,0,3542
1315,50,1112,1132,0,3559
1295,63,1158,1291,0,3744
1296,54,1118,1078,1,3492
1282,44,982,812,0,3076
1299,58,1128,1221,0,3648
1307,53,1138,1225,2,3670
1304,44,1060,955,0,3319
1313,54,1114,1047,1,3474
1297,41,988,767,0,3052
1290,48,1070,1005,0,3365
--new--train--round--
1321,52,1090,1083,1,3494
1321,52,1090,1083,1,3494
1300,50,1104,1129,0,3533
1303,44,1108,1103,0,3514
1295,45,1056,1003,1,3354
1326,44,1082,1011,0,3419
1306,38,1068,923,0,3297
1302,47,1000,876,0,3178
1322,47,1070,977,1,3369
1322,48,1106,1116,0,3544
1315,50,1116,1134,0,3565
1295,63,1166,1291,0,3752
1296,54,1122,1080,1,3498
1282,44,984,812,0,3078
1299,58,1132,1221,0,3652
1307,53,1144,1231,0,3682
1304,44,1062,955,0,3321
1313,54,1116,1049,1,3478
1297,41,988,767,0,3052
1290,48,1072,1005,0,3367
--new--train--round--
1321,52,1092,1087,1,3500
1321,52,1092,1087,1,3500
1300,50,1104,1129,0,3533
1303,44,1108,1103,0,3514
1295,45,1058,1005,1,3358
1326,44,1082,1011,0,3419
1306,38,1070,923,0,3299
1302,47,1002,876,0,3180
1322,47,1072,979,1,3373
1322,48,1106,1116,0,3544
1315,50,1118,1134,0,3567
1295,63,1174,1291,0,3760
1296,54,1124,1082,1,3502
1282,44,984,812,0,3078
1299,58,1132,1221,0,3652
1307,53,1150,1234,0,3691
1304,44,1064,955,0,3323
1313,54,1118,1049,1,3480
1297,41,988,767,0,3052
1290,48,1074,1007,0,3371
--new--train--round--
1321,52,1094,1091,0,3506
1321,52,1094,1091,0,3506
1300,50,1104,1129,0,3533
1303,44,1108,1103,0,3514
1295,45,1060,1007,1,3362
1326,44,1082,1011,0,3419
1306,38,1072,923,0,3301
1302,47,1004,876,0,3182
1322,47,1074,982,1,3378
1322,48,1106,1116,0,3544
1315,50,1120,1138,0,3573
1295,63,1182,1291,0,3768
1296,54,1126,1084,0,3506
1282,44,984,812,0,3078
1299,58,1132,1221,0,3652
1307,53,1156,1234,0,3697
1304,44,1066,955,0,3325
1313,54,1120,1051,1,3484
1297,41,988,767,0,3052
1290,48,1076,1007,0,3373
--new--train--round--
1321,52,1096,1091,0,3508
1321,52,1096,1091,0,3508
1300,50,1104,1129,0,3533
1303,44,1108,1103,0,3514
1295,45,1062,1009,0,3366
1326,44,1082,1011,0,3419
1306,38,1072,923,0,3301
1302,47,1004,876,0,3182
1322,47,1076,985,0,3383
1322,48,1106,1116,0,3544
1315,50,1120,1138,0,3573
1295,63,1182,1291,0,3768
1296,54,1128,1084,0,3508
1282,44,984,812,0,3078
1299,58,1132,1221,0,3652
1307,53,1156,1234,0,3697
1304,44,1068,955,0,3327
1313,54,1122,1053,1,3488
1297,41,988,767,0,3052
1290,48,1078,1007,0,3375
--new--train--round--
1321,52,1096,1091,0,3508
1321,52,1096,1091,0,3508
1300,50,1104,1129,0,3533
1303,44,1108,1103,0,3514
1295,45,1064,1009,0,3368
1326,44,1082,1011,0,3419
1306,38,1072,923,0,3301
1302,47,1004,876,0,3182
1322,47,1078,985,0,3385
1322,48,1106,1116,0,3544
1315,50,1120,1138,0,3573
1295,63,1182,1291,0,3768
1296,54,1130,1084,0,3510
1282,44,984,812,0,3078
1299,58,1132,1221,0,3652
1307,53,1156,1234,0,3697
1304,44,1068,955,0,3327
1313,54,1124,1055,0,3492
1297,41,988,767,0,3052
1290,48,1078,1007,0,3375
--new--train--round--
1321,52,1096,1091,0,3508
1321,52,1096,1091,0,3508
1300,50,1104,1129,0,3533
1303,44,1108,1103,0,3514
1295,45,1066,1009,0,3370
1326,44,1082,1011,0,3419
1306,38,1072,923,0,3301
1302,47,1004,876,0,3182
1322,47,1078,985,0,3385
1322,48,1106,1116,0,3544
1315,50,1120,1138,0,3573
1295,63,1182,1291,0,3768
1296,54,1130,1084,0,3510
1282,44,984,812,0,3078
1299,58,1132,1221,0,3652
1307,53,1156,1234,0,3697
1304,44,1068,955,0,3327
1313,54,1126,1055,0,3494
1297,41,988,767,0,3052
1290,48,1078,1007,0,3375
--new--train--round--
1321,52,1096,1091,0,3508
1321,52,1096,1091,0,3508
1300,50,1104,1129,0,3533
1303,44,1108,1103,0,3514
1295,45,1066,1009,0,3370
1326,44,1082,1011,0,3419
1306,38,1072,923,0,3301
1302,47,1004,876,0,3182
1322,47,1078,985,0,3385
1322,48,1106,1116,0,3544
1315,50,1120,1138,0,3573
1295,63,1182,1291,0,3768
1296,54,1130,1084,0,3510
1282,44,984,812,0,3078
1299,58,1132,1221,0,3652
1307,53,1156,1234,0,3697
1304,44,1068,955,0,3327
1313,54,1126,1055,0,3494
1297,41,988,767,0,3052
1290,48,1078,1007,0,3375
--new--train--round--
1321,52,1096,1091,0,3508
1321,52,1096,1091,0,3508
1300,50,1104,1129,0,3533
1303,44,1108,1103,0,3514
1295,45,1066,1009,0,3370
1326,44,1082,1011,0,3419
1306,38,1072,923,0,3301
1302,47,1004,876,0,3182
1322,47,1078,985,0,3385
1322,48,1106,1116,0,3544
1315,50,1120,1138,0,3573
1295,63,1182,1291,0,3768
1296,54,1130,1084,0,3510
1282,44,984,812,0,3078
1299,58,1132,1221,0,3652
1307,53,1156,1234,0,3697
1304,44,1068,955,0,3327
1313,54,1126,1055,0,3494
1297,41,988,767,0,3052
1290,48,1078,1007,0,3375
--new--train--round--
1321,52,1096,1091,0,3508
1321,52,1096,1091,0,3508
1300,50,1104,1129,0,3533
1303,44,1108,1103,0,3514
1295,45,1066,1009,0,3370
1326,44,1082,1011,0,3419
1306,38,1072,923,0,3301
1302,47,1004,876,0,3182
1322,47,1078,985,0,3385
1322,48,1106,1116,0,3544
1315,50,1120,1138,0,3573
1295,63,1182,1291,0,3768
1296,54,1130,1084,0,3510
1282,44,984,812,0,3078
1299,58,1132,1221,0,3652
1307,53,1156,1234,0,3697
1304,44,1068,955,0,3327
1313,54,1126,1055,0,3494
1297,41,988,767,0,3052
1290,48,1078,1007,0,3375
--new--train--round--
1321,52,1096,1091,0,3508
1321,52,1096,1091,0,3508
1300,50,1104,1129,0,3533
1303,44,1108,1103,0,3514
1295,45,1066,1009,0,3370
1326,44,1082,1011,0,3419
1306,38,1072,923,0,3301
1302,47,1004,876,0,3182
1322,47,1078,985,0,3385
1322,48,1106,1116,0,3544
1315,50,1120,1138,0,3573
1295,63,1182,1291,0,3768
1296,54,1130,1084,0,3510
1282,44,984,812,0,3078
1299,58,1132,1221,0,3652
1307,53,1156,1234,0,3697
1304,44,1068,955,0,3327
1313,54,1126,1055,0,3494
1297,41,988,767,0,3052
1290,48,1078,1007,0,3375
--new--train--round--
1321,52,1096,1091,0,3508
1321,52,1096,1091,0,3508
1300,50,1104,1129,0,3533
1303,44,1108,1103,0,3514
1295,45,1066,1009,0,3370
1326,44,1082,1011,0,3419
1306,38,1072,923,0,3301
1302,47,1004,876,0,3182
1322,47,1078,985,0,3385
1322,48,1106,1116,0,3544
1315,50,1120,1138,0,3573
1295,63,1182,1291,0,3768
1296,54,1130,1084,0,3510
1282,44,984,812,0,3078
1299,58,1132,1221,0,3652
1307,53,1156,1234,0,3697
1304,44,1068,955,0,3327
1313,54,1126,1055,0,3494
1297,41,988,767,0,3052
1290,48,1078,1007,0,3375
--new--train--round--
1321,52,1096,1091,0,3508
1321,52,1096,1091,0,3508
1300,50,1104,1129,0,3533
1303,44,1108,1103,0,3514
1295,45,1066,1009,0,3370
1326,44,1082,1011,0,3419
1306,38,1072,923,0,3301
1302,47,1004,876,0,3182
1322,47,1078,985,0,3385
1322,48,1106,1116,0,3544
