[trace 115]: recovering s[0][44], m = m1, branching...
[trace 116]: recovering s[0][44], m = m0, recovered cof_value = -2
[trace 117]: recovering s[0][45], m = m1, branching...
[trace 118]: recovering s[0][45], m = m1, branching...
[trace 119]: recovering s[0][45], m = m0, recovered cof_value = -1
[trace 120]: recovering s[0][46], m = m1, branching...
[trace 121]: recovering s[0][46], m = m1, branching...
[trace 122]: recovering s[0][46], m = m0, recovered cof_value = -1
[trace 123]: recovering s[0][47], m = m1, branching...
[trace 124]: recovering s[0][47], m = m0, recovered cof_value = 0
[trace 125]: recovering s[0][48], m = m1, branching...
[trace 126]: recovering s[0][48], m = m1, branching...
[trace 127]: recovering s[0][48], m = m0, recovered cof_value = -1
[trace 128]: recovering s[0][49], m = m0, branching...
[trace 129]: recovering s[0][49], m = m1, recovered cof_value = 1
[trace 130]: recovering s[0][50], m = m0, branching...
[trace 131]: recovering s[0][50], m = m1, recovered cof_value = 1
[trace 132]: recovering s[0][51], m = m1, branching...
[trace 133]: recovering s[0][51], m = m1, branching...
[trace 134]: recovering s[0][51], m = m0, recovered cof_value = -1
[trace 135]: recovering s[0][52], m = m0, branching...
[trace 136]: recovering s[0][52], m = m1, recovered cof_value = 1
[trace 137]: recovering s[0][53], m = m1, branching...
[trace 138]: recovering s[0][53], m = m1, branching...
[trace 139]: recovering s[0][53], m = m0, recovered cof_value = -1
[trace 140]: recovering s[0][54], m = m1, branching...
[trace 141]: recovering s[0][54], m = m0, recovered cof_value = 0
[trace 142]: recovering s[0][55], m = m1, branching...
[trace 143]: recovering s[0][55], m = m0, recovered cof_value = 0
[trace 144]: recovering s[0][56], m = m1, branching...
[trace 145]: recovering s[0][56], m = m1, branching...
[trace 146]: recovering s[0][56], m = m0, recovered cof_value = -1
[trace 147]: recovering s[0][57], m = m1, branching...
[trace 148]: recovering s[0][57], m = m1, branching...
[trace 149]: recovering s[0][57], m = m1, branching...
[trace 150]: recovering s[0][57], m = m0, recovered cof_value = -2
[trace 151]: recovering s[0][58], m = m0, branching...
[trace 152]: recovering s[0][58], m = m1, recovered cof_value = 1
[trace 153]: recovering s[0][59], m = m1, branching...
[trace 154]: recovering s[0][59], m = m1, branching...
[trace 155]: recovering s[0][59], m = m0, recovered cof_value = -1
[trace 156]: recovering s[0][60], m = m0, branching...
[trace 157]: recovering s[0][60], m = m1, recovered cof_value = 1
[trace 158]: recovering s[0][61], m = m1, branching...
[trace 159]: recovering s[0][61], m = m1, branching...
[trace 160]: recovering s[0][61], m = m1, branching...
[trace 161]: recovering s[0][61], m = m0, recovered cof_value = -2
[trace 162]: recovering s[0][62], m = m0, branching...
[trace 163]: recovering s[0][62], m = m1, recovered cof_value = 1
[trace 164]: recovering s[0][63], m = m1, branching...
[trace 165]: recovering s[0][63], m = m0, recovered cof_value = 0
[trace 166]: recovering s[0][64], m = m1, branching...
[trace 167]: recovering s[0][64], m = m0, recovered cof_value = 0
[trace 168]: recovering s[0][65], m = m0, branching...
[trace 169]: recovering s[0][65], m = m0, branching...
[trace 170]: recovering s[0][65], m = m1, recovered cof_value = 2
[trace 171]: recovering s[0][66], m = m1, branching...
[trace 172]: recovering s[0][66], m = m1, branching...
[trace 173]: recovering s[0][66], m = m0, recovered cof_value = -1
[trace 174]: recovering s[0][67], m = m1, branching...
[trace 175]: recovering s[0][67], m = m0, recovered cof_value = 0
[trace 176]: recovering s[0][68], m = m1, branching...
[trace 177]: recovering s[0][68], m = m0, recovered cof_value = 0
[trace 178]: recovering s[0][69], m = m1, branching...
[trace 179]: recovering s[0][69], m = m0, recovered cof_value = 0
[trace 180]: recovering s[0][70], m = m1, branching...
[trace 181]: recovering s[0][70], m = m1, branching...
[trace 182]: recovering s[0][70], m = m0, recovered cof_value = -1
[trace 183]: recovering s[0][71], m = m1, branching...
[trace 184]: recovering s[0][71], m = m0, recovered cof_value = 0
[trace 185]: recovering s[0][72], m = m1, branching...
[trace 186]: recovering s[0][72], m = m0, recovered cof_value = 0
[trace 187]: recovering s[0][73], m = m1, branching...
[trace 188]: recovering s[0][73], m = m1, branching...
[trace 189]: recovering s[0][73], m = m1, branching...
[trace 190]: recovering s[0][73], m = m0, recovered cof_value = -2
[trace 191]: recovering s[0][74], m = m0, branching...
[trace 192]: recovering s[0][74], m = m1, recovered cof_value = 1
[trace 193]: recovering s[0][75], m = m0, branching...
[trace 194]: recovering s[0][75], m = m1, recovered cof_value = 1
[trace 195]: recovering s[0][76], m = m1, branching...
[trace 196]: recovering s[0][76], m = m1, branching...
[trace 197]: recovering s[0][76], m = m0, recovered cof_value = -1
[trace 198]: recovering s[0][77], m = m1, branching...
[trace 199]: recovering s[0][77], m = m1, branching...
[trace 200]: recovering s[0][77], m = m0, recovered cof_value = -1
[trace 201]: recovering s[0][78], m = m1, branching...
[trace 202]: recovering s[0][78], m = m0, recovered cof_value = 0
[trace 203]: recovering s[0][79], m = m1, branching...
[trace 204]: recovering s[0][79], m = m1, branching...
[trace 205]: recovering s[0][79], m = m1, branching...
[trace 206]: recovering s[0][79], m = m0, recovered cof_value = -2
[trace 207]: recovering s[0][80], m = m0, branching...
[trace 208]: recovering s[0][80], m = m1, recovered cof_value = 1
[trace 209]: recovering s[0][81], m = m1, branching...
[trace 210]: recovering s[0][81], m = m1, branching...
[trace 211]: recovering s[0][81], m = m1, branching...
[trace 212]: recovering s[0][81], m = m0, recovered cof_value = -2
[trace 213]: recovering s[0][82], m = m0, branching...
[trace 214]: recovering s[0][82], m = m1, recovered cof_value = 1
[trace 215]: recovering s[0][83], m = m0, branching...
[trace 216]: recovering s[0][83], m = m1, recovered cof_value = 1
[trace 217]: recovering s[0][84], m = m0, branching...
[trace 218]: recovering s[0][84], m = m1, recovered cof_value = 1
[trace 219]: recovering s[0][85], m = m0, branching...
[trace 220]: recovering s[0][85], m = m1, recovered cof_value = 1
